word,count
faith,13
calling,9
sustain,9
church,8
lord,7
serve,7
us,7
ward,6
callings,6
called,6
lords,6
christ,5
come,5
hands,5
service,5
support,5
came,5
life,4
jesus,4
friends,4
invited,4
later,4
time,4
see,4
opportunity,4
together,4
right,4
president,4
will,4
call,4
business,3
apostles,3
new,3
young,3
meeting,3
asked,3
raise,3
felt,3
know,3
told,3
clerk,3
saw,3
raised,3
small,3
clerks,3
office,3
purpose,3
common,3
consent,3
help,3
always,3
saviour,3
might,3
may,3
patrick,2
quorum,2
twelve,2
better—everything,2
better—when,2
joining,2
first,2
congregation,2
welcome,2
smiling,2
faces,2
desire,2
follow,2
many,2
experienced,2
bishop,2
mind,2
well,2
learn,2
sunday,2
family,2
patience,2
show,2
side,2
often,2
followed,2
stretching,2
others,2
learned,2
choice,2
hand,2
unity,2
uphold,2
servants,2
responsibility,2
member,2
prayers,2
think,2
good,2
serving,2
one,2
role,2
respond,2
prayer,2
inconvenient,2
yet,2
god,2
temple,2
humble,2
matters,2
nothing,2
full,2
today,2
sacred,2
dallin,2
oaks,2
whole,2
solemn,2
every,2
needs,2
elder,1
kearon,1
baptised,1
latter-day,1
saints,1
mid-20s,1
london,1
host,1
single,1
adult,1
newfound,1
sacrament,1
following,1
baptism,1
front,1
chapel,1
sign,1
unfamiliar,1
practice,1
looked,1
cheering,1
genuinely,1
thrilled,1
discovered,1
recently,1
transition,1
week,1
meet,1
taken,1
taught,1
missionaries,1
rocked,1
back,1
chair,1
thwacking,1
ruler,1
palm,1
prayed—about,1
me—and,1
benefit,1
future,1
extended,1
assistant,1
reaction,1
“assistant,1
me!”,1
fortunately,1
little,1
grace,1
intervened,1
responded,1
“thank,1
you”,1
endeavour,1
involved,1
clue,1
next,1
stand,1
announced,1
agreed,1
comfortingly,1
surrounding,1
reassuring,1
goodwill,1
“assisting”,1
straight,1
end,1
said,1
“come,1
ill,1
works.”,1
coming,1
months,1
everything,1
worked,1
sitting,1
hours—in,1
clear,1
thats,1
kept,1
loving,1
eye,1
eventually,1
shared,1
prompted,1
extend,1
trusted,1
overwhelming,1
power,1
received,1
hindsight,1
bishops,1
inspiration,1
make,1
sense,1
happily,1
trying,1
obvious,1
fit,1
persons,1
gifts,1
talents,1
occasionally,1
thought,1
“hmm,1
interesting,1
choice,”,1
though,1
never,1
encouraging,1
smiles,1
participating,1
choose,1
raising,1
mere,1
formality,1
beautiful,1
mix,1
agency,1
voluntary,1
personal,1
commitment,1
whether,1
bishopric,1
women,1
adviser,1
school,1
teacher,1
stake,1
primary,1
love,1
agree,1
job,1
perhaps,1
pray,1
important,1
bridges,1
built,1
understand,1
everyone,1
serves,1
another,1
branch,1
affords,1
pursue,1
virtues—such,1
charity,1
humility,1
meekness,1
forgiveness,1
love—with,1
people,1
different,1
clearly,1
fortified,1
body,1
bonded,1
working,1
imperfect,1
much,1
including,1
striving,1
discern,1
highly,1
leave,1
wondering,1
“isnt,1
do?”,1
visible,1
quiet,1
unseen,1
service—or,1
less,1
experience,1
change,1
ways,1
deeply,1
impact,1
require,1
great,1
trust,1
adjust,1
acknowledge,1
owing,1
exceptional,1
circumstances,1
unable,1
given,1
careful,1
leaders,1
sensitive,1
sometimes,1
asks,1
something,1
become,1
jaded,1
reluctant,1
that—whatever,1
offering—in,1
economy,1
ahead,1
peter,1
andrew,1
james,1
john,1
instantly,1
dropped,1
nets,1
incomprehensible,1
must,1
shore,1
galilee,1
feeling,1
disheartened,1
flagging,1
even,1
needed,1
gentle,1
reminding,1
repeated,1
invitation,1
feed,1
sheep,1
offering,1
blessing,1
study,1
scripture,1
worship,1
critical,1
development,1
foundational,1
expansion,1
tailor-made,1
growth,1
look,1
outward,1
indeed,1
fellow,1
beings,1
fact,1
really,1
isnt,1
half-hearted,1
talked,1
living,1
speed,1
contagious,1
joy,1
whole-souled,1
devotion—which,1
brings,1
prophet,1
seer,1
revelator,1
im,1
sure,1
review,1
20s,1
30s,1
way,1
realms,1
possibility,1
becoming,1
didnt,1
seek,1
aspire,1
weight,1
colossal,1
sobering,1
cant,1
daddy,1
died,1
seven,1
faithfully,1
resolute,1
mother,1
resilient,1
hardworking,1
son,1
illustrious,1
modest,1
now,1
years,1
joyfully,1
chief,1
apostle,1
soul,1
responds,1
claiming,1
infallibility,1
trusting,1
guiding,1
kind,1
moment,1
assembly,1
gathering,1
holy,1
certainly,1
day,1
gratitude,1
rejoicing,1
exercise,1
signified,1
willingness,1
confidence,1
“every,1
individual,1
stood,1
equal,1
exercising,1
soberness,1
solemnity,1
procedures,1
arise,1
revelation,1
chosen,1
lead.”,1
12-year-old,1
found,1
parents,1
teaching,1
“about,1
fathers,1
business.”,1
whatever,1
“his,1
business”,1
embraced,1
willing,1
heart,1
lift,1
comfort,1
children,1
share,1
news,1
merely,1
filling,1
assignment,1
inspired,1
world,1
infinite,1
redeeming,1
work,1
name,1
amen,1
