word,count
love,19
ministering,17
minister,14
savior,13
us,11
will,10
others,9
god,9
christ,8
father,8
one,7
jesus,7
saviors,6
lord,6
feel,6
ways,6
way,5
bless,5
divine,5
faith,5
find,5
relief,4
life,4
care,4
helping,4
blessed,4
assignments,4
lives,4
sacrifice,4
gods,4
receive,4
need,4
loved,3
sister,3
loving,3
caring,3
atonement,3
began,3
temple,3
become,3
changes,3
needs,3
spirit,3
family,3
choose,3
someones,3
covenants,3
help,3
invites,3
healing,3
often,3
heaven,3
work,3
children,3
bring,3
loves,3
ye,2
another,2
society,2
general,2
truly,2
shared,2
power,2
change,2
invited,2
come,2
serve,2
dad,2
aware,2
better,2
relationship,2
real,2
now,2
disciples,2
ministered,2
man,2
inspired,2
prayers,2
know,2
keep,2
promised,2
blessings,2
may,2
make,2
peace,2
follow,2
think,2
individual,2
healed,2
“the,2
ultimate,2
capacity,2
yet,2
kind,2
give,2
greatest,2
taught,2
blessing,2
priesthood,2
represent,2
belonging,2
name,2
joy,2
testify,2
ministering—“that,1
you”,1
kristin,1
yee,1
second,1
counselor,1
presidency,1
first,1
conference,1
message,1
briefly,1
transformative,1
changed,1
today,1
tell,1
little,1
hit,1
low,1
point,1
two,1
brothers,1
visit,1
wife,1
accepted,1
invitation,1
week,1
picked,1
drove,1
next,1
city,1
worship,1
house,1
continued,1
three,1
years,1
decided,1
worker,1
remember,1
seeing,1
time,1
became,1
attentive,1
took,1
health,1
subsequently,1
relationships,1
felt,1
couple,1
didnt,1
judge,1
walked,1
helped,1
develop,1
still,1
fathers,1
closest,1
dearest,1
friends,1
humble,1
devoted,1
quietly,1
seemingly,1
lost,1
dejected,1
eternally,1
daily,1
interactions,1
son,1
answer,1
hands,1
oh,1
grateful,1
families,1
mine,1
compassion,1
struggles,1
strive,1
exercise,1
able,1
fix,1
difficult,1
heartbreaking,1
circumstances,1
hope,1
clarity,1
purpose,1
design,1
program,1
checklist,1
essence,1
called,1
released,1
part,1
fulfilling,1
made,1
baptism,1
covenanted,1
take,1
upon,1
name—becoming,1
consecrate,1
begin,1
carries,1
eternal,1
showed,1
pattern,1
mortal,1
ministry,1
compassionately,1
cared,1
one.”,1
likewise—to,1
personal,1
seen,1
everything,1
whole,1
shows,1
individuality,1
atoning,1
heal,1
intimate,1
level,1
chose,1
suffer,1
sins,1
atone,1
indescribable,1
agony,1
might,1
saved,1
succor,1
without,1
assurance,1
return,1
“but,1
commendeth,1
toward,1
sinners,1
died,1
us.”,1
desires,1
“a,1
new,1
commandment,1
unto,1
you.”,1
demonstrate,1
keeping,1
commandments,1
imperfect,1
weve,1
sent,1
learn,1
did—to,1
sacrificial,1
transformational,1
happiness,1
impossible,1
elder,1
quentin,1
cook,1
“our,1
fellow,1
test,1
condition,1
spirit.”,1
choosing,1
isnt,1
always,1
convenient,1
comfortable,1
requires,1
vulnerability,1
trusting,1
things,1
let,1
prevail,1
pause,1
someone,1
something,1
enter,1
perspective,1
really,1
young,1
feels,1
nervous,1
doesnt,1
respond,1
asked,1
works,1
smiled,1
said,1
“i,1
go—and,1
usually,1
turns,1
much,1
thought.”,1
exercises,1
helps,1
go,1
alone,1
“provide,1
means,1
whereby,1
accomplish,1
thing,1
commanded”—including,1
authority,1
assignment,1
knows,1
hearts,1
significance,1
elders,1
quorum,1
presidencies,1
revelation,1
extend,1
me—assignments,1
labor,1
president,1
jeffrey,1
holland,1
hand,1
staggering,1
task,1
answering,1
drying,1
tears,1
strengthening,1
feeble,1
knees.”,1
want,1
grounded,1
gain,1
sense,1
difference,1
world,1
invite,1
never,1
greater,1
souls,1
lifted,1
strengthened,1
“so,1
many,1
desperately,1
love.”,1
covenant,1
responsibility,1
offer,1
“whosoever,1
lose,1
sake,1
it.”,1
limit,1
close,1
associations,1
grow,1
ensure,1
forgotten,1
pray,1
strengthen,1
believe,1
wants,1
happy,1
including,1
designed,1
experience,1
“brings,1
forth,1
heaven,”,1
emulate,1
even,1
amen,1
