word,count
home,19
come,16
church,14
us,10
president,9
calling,8
will,8
jesus,8
still,8
christ,7
temple,7
savior,6
family,6
dont,6
faith,6
visit,6
never,5
eventually,5
back,5
later,5
away,5
john,5
tenderly,4
years,4
witness,4
life,4
help,4
others,4
ministering,4
vargas,4
sealed,4
elder,3
feel,3
felt,3
know,3
first,3
name,3
way,3
taught,3
find,3
people,3
speak,3
walk,3
met,3
lord,3
light,3
love,3
san,3
antonio,3
make,3
join,3
become,3
baptized,3
kenna,3
truth,3
traditions,3
gilbert,2
loves,2
christine,2
grateful,2
christs,2
lives,2
dallin,2
oakss,2
declared,2
today,2
redeemer,2
future,2
choices,2
nelson,2
patience,2
son,2
struggled,2
children,2
found,2
mother,2
entering,2
belong,2
something,2
attend,2
beautiful,2
tammy,2
confided,2
see,2
one,2
alone,2
joy,2
next,2
measure,2
missionaries,2
member,2
brother,2
said,2
end,2
wife,2
better,2
justin,2
wanted,2
stake,2
go,2
even,2
things,2
helping,2
holy,2
ghost,2
oaks,2
began,2
months,2
weary,2
byu,2
need,2
honor,2
now,2
struggling,2
covenants,2
looked,2
seats,2
space,2
students,2
calling—,2
clark,1
quorum,1
twelve,1
apostles,1
patrick,1
kearons,1
remarks,1
inadequacies,1
new,1
perhaps,1
significant,1
made,1
reference,1
“small,1
clark.”,1
overwhelming,1
weight,1
grace,1
makes,1
difference,1
prayers,1
sustaining,1
support,1
many,1
strengthened,1
message,1
apostle,1
given,1
nearly,1
ago,1
“i,1
devote,1
whole,1
heart,1
might,1
mind,1
strength,1
great,1
trusts,1
placed,1
especially,1
responsibilities,1
special,1
world.”,1
echo,1
declaration,1
pledge,1
specifically,1
names,1
repairer,1
focus,1
invitation,1
william,1
shakespeares,1
famous,1
words,1
pronounce,1
missed,1
opportunities,1
bind,1
tide,1
affairs,1
men,1
taken,1
flood,1
leads,1
fortune,1
omitted,1
voyage,1
bound,1
shallows,1
miseries,1
consequences,1
gospel,1
lose,1
spiritually,1
allows,1
change,1
russell,1
“because,1
covenant,1
god,1
tire,1
efforts,1
exhaust,1
merciful,1
us.”,1
“should,1
stray,1
back.”,1
born,1
hope,1
minerva,1
teicherts,1
painting,1
pioneer,1
valley,1
little,1
beckoning,1
follow,1
behind,1
young,1
pleading,1
gather,1
hoping,1
praying,1
difficult,1
weekend,1
assignments,1
general,1
authority,1
repeatedly,1
witnessed,1
finding,1
may,1
always,1
quickly,1
happened—over,1
let,1
take,1
visits,1
sister,1
anglesey,1
left,1
earlier,1
long,1
known,1
missing,1
overwhelmed,1
mustered,1
courage,1
open,1
house,1
“all,1
experience,1
sealing,1
endowment].”,1
prompted,1
dressed,1
sunday,1
park,1
car,1
watch,1
building,1
overcome,1
anxiety,1
simply,1
drove,1
changed,1
clothes,1
wept,1
inspired,1
bishop,1
sent,1
note,1
inviting,1
endowment,1
spent,1
sundays,1
sitting,1
parking,1
lot,1
brought,1
restored,1
texas,1
went,1
andrea,1
serving,1
primary,1
husband,1
luis,1
though,1
mission,1
called,1
shared,1
wasnt,1
good,1
enough,1
baptized—that,1
couldnt,1
saw,1
steps,1
“brother,1
perfect,1
best,1
difference.”,1
tour,1
turned,1
“honey,1
think,1
time,1
father,1
husband.”,1
month,1
doubt,1
valdez,1
moved,1
easier,1
hero,1
story,1
eight-year-old,1
sensing,1
opening,1
door,1
wise,1
scheduled,1
remember,1
kennas,1
squinty,1
look,1
stared,1
walked,1
room,1
testimony,1
book,1
mormon,1
faced,1
triggering,1
issues,1
kept,1
coming,1
promised,1
anchored,1
believe,1
didnt,1
overcoming,1
concerns,1
issue,1
resolving,1
every,1
question,1
recognize,1
recently,1
“you,1
live,1
season,1
adversary,1
effective,1
disguising,1
deceived.”,1
changes,1
necessary,1
six,1
texted,1
“hi,1
ready,1
family.”,1
photo,1
day,1
pocatello,1
idaho,1
trapped,1
raass,1
yet,1
kailani,1
catered,1
dinner,1
presidency,1
invited,1
appeared,1
spiritual,1
discussion,1
assured,1
fast,1
friends,1
former,1
football,1
star,1
grew,1
cheering,1
asked,1
joined,1
cited,1
deceased,1
parents,1
helped,1
realize,1
understood,1
decision,1
chose,1
meet,1
two,1
year,1
feeling,1
doubts,1
limited,1
reasons,1
immediately,1
answer,1
call,1
societal,1
pressures,1
pull,1
lifes,1
deeper,1
questions,1
“the,1
much,1
exhausting,1
seek,1
happiness,1
it!”,1
journey,1
starts,1
reanchoring,1
fully,1
restore,1
struggle,1
service,1
trying,1
hold,1
keep,1
requires,1
stay,1
whos,1
everyone,1
must,1
recent,1
historic,1
address,1
marriott,1
center,1
initially,1
completely,1
full,1
closely,1
hundreds,1
unfilled,1
ushers,1
devotional,1
remarkable,1
happened,1
already,1
turn,1
phone,1
flashlights,1
signal,1
late-arriving,1
holding,1
say,1
“please,1
sit,1
saved,1
seat,1
you.”,1
conclude,1
hymn,1
feels,1
voice,1
softly,1
patiently,1
waiting,1
watching—,1
watching,1
ye,1
earnestly,1
sinner,1
fall,1
short,1
repairs,1
breaches,1
amen,1
