word,count
jesus,8
gospel,8
christ,7
family,7
things,7
follow,6
president,6
prophets,5
savior,5
man,5
oaks,5
us,5
traditions,5
culture,5
way,4
teachings,4
come,4
know,4
parents,4
live,4
taught,4
known,4
light,4
prophet,3
knows,3
following,3
young,3
asked,3
grateful,3
example,3
practices,3
gods,3
living,3
contrary,3
even,3
still,3
others,3
morning,3
made,3
examples,2
seers,2
revelators,2
thou,2
unto,2
heaven,2
path,2
received,2
years,2
purpose,2
today,2
simply,2
one,2
dallin,2
gave,2
life,2
times,2
philippines,2
faith,2
ethnic,2
little,2
embracing,2
set,2
commandments,2
words,2
difficult,2
imagine,2
immense,2
friends,2
hold,2
covenants,2
long,2
experience,2
“the,2
challenges,2
change,2
people,2
ago,2
felt,2
visit,2
cancer,2
imagined,2
finally,2
experienced,2
atonement,2
tall,2
buildings,2
apartment,2
building,2
see,2
rays,2
sun,2
windows,2
will,2
‘behold,2
apostles,2
ye,2
past,2
testify,2
dear,2
elder,1
michael,1
john,1
teh,1
seventy,1
rich,1
said,1
“sell,1
hast,1
distribute,1
poor⁠,1
shalt,1
treasure,1
me⁠.”,1
tread,1
lead,1
“treasures,1
neither,1
moth,1
rust,1
doth,1
corrupt.”,1
helped,1
better,1
focus,1
primary,1
song,1
goes,1
“follow,1
way.”,1
october,1
counsel,1
“following,1
casual,1
occasional,1
practice,1
continuous,1
commitment,1
guide,1
places,1
define,1
every,1
disciple,1
invited,1
path.”,1
born,1
chinese,1
ancestry,1
almost,1
everyone,1
embraced,1
predominant,1
native,1
country,1
enjoyed,1
healthy,1
mix,1
different,1
religious,1
influenced,1
daily,1
lives,1
joined,1
church,1
yet,1
another,1
values,1
traditions—even,1
based,1
plan,1
salvation,1
time,1
strived,1
fully,1
embrace,1
discovered,1
well-loved,1
consistent,1
became,1
apparent,1
needed,1
make,1
choice,1
began,1
undertaking,1
weeding,1
cultural,1
pressure,1
certain,1
though,1
exercised,1
chose,1
keep,1
process,1
left,1
working,1
although,1
perfect,1
meant,1
keeping,1
‘repent,1
frequent,1
message,1
repenting,1
means,1
giving,1
practices﻿—personal,1
national﻿—that,1
god,1
transform,1
common,1
creatures,1
celestial,1
citizens,1
requires,1
inevitably,1
include,1
must,1
changed,1
wish,1
qualify,1
choicest,1
blessings.”,1
weeks,1
stake,1
japan,1
diagnosed,1
despite,1
going,1
treatment,1
continued,1
spread,1
situations,1
struggle,1
find,1
say,1
days,1
pleaded,1
lords,1
help,1
pictured,1
downtrodden,1
devastated,1
anticipated,1
ask,1
lord,1
trial,1
hopeless,1
perhaps,1
angry,1
day,1
arrived,1
loss,1
met,1
completely,1
astonished,1
stood,1
countenance,1
bright,1
happy,1
bitterness,1
never,1
recently,1
similar,1
experiences,1
members,1
korea,1
intention,1
minister,1
end,1
visits,1
ministered,1
strengthened,1
individuals,1
endure,1
trials,1
“our,1
suffered,1
fulness,1
mortal,1
struggles,1
heartaches,1
temptations,1
suffering,1
willingly,1
essential,1
part,1
empowers,1
succor,1
us﻿—to,1
give,1
strength,1
bear,1
all.”,1
two,1
hong,1
kong,1
dwarfed,1
much,1
taller,1
around,1
prepared,1
shadows,1
delight,1
wake,1
shining,1
simple,1
filled,1
soul,1
joy,1
gratitude,1
got,1
bearings,1
confused,1
facing,1
east,1
upon,1
investigation,1
learned,1
suns,1
reflected,1
front,1
reminded,1
strive,1
use,1
bless,1
service,1
feel,1
saviors,1
love,1
“during,1
ministry,1
later,1
told,1
‘hold,1
may,1
shine,1
world,1
adding,1
up﻿—that,1
seen,1
do.”,1
interesting,1
think,1
attuned,1
everything,1
opposite,1
actually,1
future,1
watchmen,1
tower,1
learn,1
book,1
mosiah,1
“a,1
seer,1
revealed,1
rather,1
secret,1
manifest,1
hidden,1
known.”,1
led,1
along,1
counselors,1
first,1
presidency,1
quorum,1
twelve,1
indeed,1
participated,1
solemn,1
assembly,1
brothers,1
sisters,1
especially,1
sacred,1
name,1
amen,1
