word,count
god,12
car,12
first,10
lord,10
put,8
lives,8
taught,7
will,6
spiritual,6
adam,6
many,6
know,6
tithing,6
payment,5
christ,5
dilemma,5
us,5
offer,5
unto,5
days,5
said,5
came,5
witness,5
elder,4
alma,4
asked,4
jesus,4
“i,4
ye,4
emphasis,4
added,4
business,4
needed,4
sell,4
back,4
pay,4
certain,3
tithes,3
something,3
come,3
later,3
one,3
gave,3
“and,3
commanded,3
thing,3
sacrifice,3
moses,3
recall,3
see,3
law,3
windows,3
seventy,2
offerings,2
enhance,2
capacity,2
prophet,2
“a,2
people,2
awful,2
much,2
james,2
man,2
double-mindedness,2
example,2
eve,2
firstlings,2
flocks,2
angel,2
saying,2
father,2
powerful,2
experience,2
life,2
called,2
branch,2
cutler,2
meeting,2
you?”,2
financial,2
dont,2
want,2
drove,2
realized,2
haggling,2
amount,2
believe,2
check,2
upon,2
simple,2
obedience,2
statement,2
“the,2
heaven,2
malachi,2
tithing—putting,1
jorge,1
becerra,1
several,1
penetrating,1
questions,1
help,1
church,1
members,1
zarahemla,1
mighty,1
change”,1
heart,1
disciples,1
5:12,1
shortly,1
thereafter,1
gideon,1
caught,1
attention,1
read,1
great,1
hopes,1
humbled,1
brethren,1
zarahemla”,1
7:3,1
sermon,1
repeated,1
desire,1
state,1
brethren”,1
7:18,1
footnote,1
verse,1
leads,1
possible,1
answer,1
apostle,1
double,1
minded,1
unstable,1
ways”,1
1:8,1
double-minded,1
person,1
wavering,1
indecisive,1
conflicted,1
someone,1
lacks,1
commitment,1
single,1
purpose,1
belief,1
way,1
overcome,1
learn,1
“seek,1
kingdom,1
righteousness”,1
matthew,1
6:33,1
beginning,1
time,1
children,1
“commandments,1
worship,1
offering,1
obedient,1
commandments,1
appeared,1
dost,1
thou,1
sacrifices,1
save,1
spake,1
similitude,1
begotten,1
full,1
grace,1
truth”,1
5:5–7,1
please,1
notice,1
words,1
avoid,1
years,1
ago,1
young,1
married,1
serve,1
presidency,1
clinton,1
speak,1
opportunity,1
talk,1
sensing,1
mind,1
“is,1
bothering,1
“yes,”,1
replied,1
difficulties,1
fallen,1
behind,1
offerings.”,1
“do,1
anything,1
value?”,1
pondered,1
question,1
value,1
efforts,1
grow,1
concluded,1
least,1
make,1
effort,1
cleaned,1
polished,1
placed,1
ad,1
clear,1
ask,1
pondering,1
desiring,1
house,1
seemed,1
interested,1
discuss,1
details,1
card,1
represented,1
dealership,1
nervous,1
surely,1
happen,1
next—the,1
forth,1
price,1
“how,1
car?”,1
told,1
precise,1
calculated,1
loan,1
calmly,1
“ok,1
check.”,1
thanked,1
left,1
arguing,1
negotiating,1
requested,1
surprised,1
amazed,1
deposited,1
paid,1
contemplated,1
occurred,1
continue,1
thinking,1
friend,1
“jorge,1
point,1
liked,1
reminded,1
wife,1
twins,1
buy,1
larger,1
vehicle,1
wondered,1
willing,1
take,1
payments,1
miracle,1
reflect,1
wonder,1
confidence,1
home,1
evening,1
mother,1
bore,1
testimony,1
parents,1
immigrated,1
united,1
states,1
job,1
allowed,1
receive,1
legal,1
residency,1
experienced,1
setbacks,1
immigrants,1
become,1
acclimated,1
new,1
country,1
economy,1
gaze,1
“all,1
need,1
hand,1
jehovah,1
greater,1
assurance,1
blessing,1
tithing.”,1
president,1
gordon,1
hinckley,1
difficult,1
circumstances,1
unemployed,1
work,1
meager,1
wages,1
live,1
inadequate,1
little,1
houses,1
afford,1
walk,1
poverty,1
unless,1
now,1
season,1
establish,1
strength,1
gospel,1
involves,1
commandment,1
really,1
matters”,1
general,1
authority,1
training,1
oct,1
applies,1
temporal,1
“firstlings,1
flock”,1
5:5,1
power,1
direction,1
heretofore,1
unknown,1
keep,1
evidence,1
truth,1
found,1
offered,1
day,1
holy,1
ghost,1
fell,1
adam”,1
5:9,1
david,1
bednar,1
observed,1
imagery,1
‘windows,1
used,1
instructive,1
3:10,1
allow,1
natural,1
light,1
enter,1
building,1
manner,1
illumination,1
perspective,1
poured,1
honor,1
tithing”,1
heaven,”,1
liahona,1
nov,1
perfect,1
laid,1
symbol,1
complete,1
submission,1
fathers,1
redeemer,1
savior,1
dallin,1
oaks,1
bear,1
solemn,1
name,1
amen,1
