word,count
peace,13
lord,12
us,12
prayer,12
will,11
prayers,8
unto,8
father,8
pray,6
“and,6
know,6
hearts,6
upon,6
lives,5
world,5
heart,5
may,5
times,5
people,5
god,5
thy,5
ye,5
alma,5
saviors,4
comfort,4
give,4
heavenly,4
book,4
came,4
circumstances,3
offer,3
leave,3
faithful,3
disciples,3
let,3
seems,3
fervent,3
beloved,3
son,3
jesus,3
christ,3
name,3
words,3
thou,3
many,3
secret,3
burdens,3
testify,3
hears,3
first,2
continually,2
matter,2
life,2
abiding,2
support,2
brothers,2
sisters,2
time,2
remember,2
gave,2
promise,2
continues,2
today,2
said,2
“peace,2
giveth,2
wars,2
heaven,2
private,2
help,2
love,2
trouble,2
refuge,2
put,2
thee,2
hast,2
seek,2
say,2
ask,2
given,2
use,2
rather,2
taught,2
openly,2
much,2
things,2
mormon,2
read,2
prayed,2
pass,2
good,2
ease,2
even,2
feel,2
now,2
made,2
bear,2
feelings,2
spirit,2
according,2
loves,2
funeral,2
president,1
henry,1
eyring,1
counselor,1
presidency,1
dear,1
grateful,1
apostles,1
knew,1
alone,1
without,1
lead,1
protect,1
succor,1
perils,1
last,1
supper,1
encourage,1
whatever,1
difficulties,1
face,1
troubled,1
neither,1
afraid.”,1
commotion,1
rumors,1
economies,1
whole,1
continents,1
seem,1
faltering,1
prophesied,1
wickedness,1
accelerating,1
return,1
draws,1
nearer,1
yet,1
despite,1
turmoil,1
difficulty,1
latter-day,1
saints,1
hardship,1
across,1
flooded,1
public,1
petitioning,1
direction,1
personal,1
seen,1
congregations,1
homes,1
numerous,1
heartfelt,1
turning,1
chaotic,1
old,1
mankind,1
fear,1
tragedy,1
danger,1
illness,1
often,1
turn,1
whose,1
knows,1
watches,1
cares,1
consoling,1
king,1
david,1
psalms,1
“the,1
oppressed,1
trust,1
forsaken,1
thee.”,1
moments,1
pain,1
loneliness,1
confusion,1
aware,1
yearn,1
bless,1
clear,1
find,1
knock,1
opened,1
“for,1
every,1
one,1
asketh,1
receiveth,1
seeketh,1
findeth,1
knocketh,1
opened.”,1
opening,1
windows,1
require,1
flowery,1
language,1
diligence,1
requires,1
“pour,1
souls”,1
places,1
“drawn,1
continually.”,1
sermon,1
mount,1
savior,1
“when,1
prayest,1
enter,1
closet,1
shut,1
door,1
seeth,1
reward,1
“but,1
vain,1
repetitions,1
heathen,1
think,1
heard,1
speaking,1
“be,1
knoweth,1
need,1
him.”,1
provided,1
touching,1
evidence,1
power,1
nonverbal,1
offered,1
within,1
elder,1
destroyed,1
raise,1
voices,1
pour,1
thoughts,1
voice,1
afflictions,1
saying,1
lift,1
heads,1
shoulders,1
backs,1
bondage,1
laid,1
brethren,1
light,1
yea,1
strengthen,1
submit,1
cheerfully,1
patience,1
lord.”,1
answers,1
follow,1
commandment,1
“pray,1
always”,1
continual,1
prophets,1
past,1
praying,1
constant,1
ascend,1
always,1
reminded,1
example,1
sons,1
mosiah,1
success,1
preaching,1
gospel,1
spiritually,1
strong,1
constantly,1
“they,1
fasting,1
prophecy,1
revelation.”,1
significant,1
spiritual,1
strength,1
continued,1
waiting,1
moment,1
crisis,1
desperately,1
needed,1
divine,1
consistent,1
joyous,1
seasons,1
distress,1
grief,1
surely,1
rewarded,1
perfect,1
timing,1
answer,1
rest,1
houses,1
lands,1
flocks,1
herds,1
possess,1
women,1
children,1
faith,1
works,1
forth,1
forever,1
thus,1
spoken.”,1
testimony,1
true,1
humble,1
honored,1
felt,1
wife,1
years,1
surprised,1
feeling,1
almost,1
joy,1
must,1
wondered,1
smiling,1
answered,1
assurance,1
holy,1
ghost,1
allowed,1
envision,1
happy,1
reunion,1
ahead,1
hope,1
promised,1
troubled.”,1
blesses,1
sincere,1
humbly,1
sacred,1
amen,1
