word,count
church,12
auditing,5
department,3
jared,2
larson,2
managing,2
director,2
first,2
presidency,2
recorded,2
funds,2
entities,2
accordance,2
budgets,2
policies,2
audits,2
contributions,2
received,2
expenditures,2
made,2
assets,2
practices,2
report,1
presented,1
jesus,1
christ,1
latter-day,1
saints,1
dear,1
brethren,1
directed,1
revelation,1
section,1
doctrine,1
covenants,1
council,1
disposition,1
tithes—composed,1
quorum,1
twelve,1
apostles,1
presiding,1
bishopric—authorizes,1
expenditure,1
disburse,1
approved,1
procedures,1
consists,1
credentialed,1
professionals,1
independent,1
departments,1
responsibility,1
perform,1
purpose,1
providing,1
reasonable,1
assurance,1
regarding,1
safeguarding,1
based,1
upon,1
performed,1
opinion,1
material,1
respects,1
year,1
administered,1
church-approved,1
accounting,1
follows,1
taught,1
members,1
living,1
within,1
budget,1
avoiding,1
debt,1
saving,1
time,1
need,1
respectfully,1
submitted,1
