word,count
god,22
christ,16
life,12
jesus,12
know,11
eternal,9
thou,9
father,6
us,6
unto,6
will,5
sins,5
said,5
king,5
faith,5
give,4
come,4
true,4
taught,4
gospel,4
aaron,4
man,4
name,4
gain,3
son,3
family,3
needed,3
heavenly,3
story,3
gave,3
commandments,3
believe,3
yea,3
receive,3
wilt,3
bow,3
savior,3
“i,2
away,2
power,2
mother,2
gods,2
cakes,2
asked,2
great,2
came,2
old,2
met,2
loves,2
child,2
earth,2
return,2
presence,2
told,2
even,2
words,2
peace,2
heart,2
learning,2
already,2
prepare,2
missionary,2
“…,2
may,2
hast,2
forsake,2
kingdom,2
desirest,2
repent,2
hope,2
“and,2
upon,2
conversion,2
sincere,2
desire,2
act,2
might,2
way,2
me.”,2
coming,2
means,2
willing,2
change,2
follow,2
thee”,1
elder,1
wan-liang,1
wu,1
seventy,1
born,1
non-christian,1
boy,1
accompany,1
chinese,1
temples,1
worship,1
different,1
bring,1
special,1
offering,1
burn,1
incense,1
ask,1
blessings,1
work,1
riches,1
health,1
healing,1
loved,1
going,1
rituals,1
got,1
eat,1
delicious,1
nevertheless,1
miracle,1
years,1
moved,1
bolivia,1
missionaries,1
never,1
heard,1
living,1
glorified,1
body,1
flesh,1
bones,1
literally,1
sent,1
help,1
attain,1
amazed,1
joseph,1
smith,1
saw,1
though,1
didnt,1
speak,1
spanish,1
couldnt,1
understand,1
felt,1
somehow,1
knew,1
good,1
invited,1
baptized,1
two,1
older,1
sisters,1
members,1
church,1
“ive,1
made,1
mind,1
im,1
getting,1
baptized!”,1
changed,1
better,1
purpose—to,1
book,1
mormon,1
read,1
surprised,1
insisted,1
began,1
“reading,1
scriptures,1
king—how,1
created,1
image,1
transgression,1
fallen,1
plan,1
redemption,1
prepared,1
foundation,1
world,1
whosoever,1
repentance,1
spoken,1
behold,1
possess,1
joy,1
“but,1
thing,1
thy,1
call,1
believing,1
ye,1
shalt,1
pass,1
lord,1
knees,1
prostrate,1
cried,1
mightily,1
saying,1
“o,1
hath,1
art,1
make,1
thyself,1
known,1
thee.”,1
concludes,1
kings,1
entire,1
household,1
several,1
cities,1
meek,1
lowly,1
us—in,1
choosing,1
deciding,1
accordingly,1
declared,1
thee,1
sent.”,1
obtain,1
responds,1
truth,1
cometh,1
following,1
much,1
includes,1
works,1
converted,1
restored,1
“will,1
greater,1
happiness,1
purpose”,1
remain,1
stuck,1
state,1
astonishment,1
chose,1
truly,1
saved,1
last,1
day,1
president,1
dallin,1
oaks,1
“the,1
challenges,1
‘repent,1
frequent,1
message,1
repenting,1
giving,1
practices—personal,1
ethnic,1
national—that,1
contrary,1
purpose,1
transform,1
common,1
creatures,1
celestial,1
citizens,1
requires,1
change.”,1
without,1
real,1
intent,1
need,1
continuously,1
strive,1
obey,1
comprehend,1
pleads,1
“come,1
paid,1
price,1
rose,1
dead,1
“hope,1
future,1
existence,1
father.”,1
whether,1
regardless,1
background,1
status,1
invite,1
choose,1
decide,1
“there,1
none,1
given,1
heaven,1
save,1
whereby,1
saved.”,1
testify,1
risen,1
lives,1
wants,1
amen,1
