word,count
jesus,24
christ,24
will,10
one,7
us,7
young,6
keep,6
weight,6
may,5
walk,5
even,5
picture,5
rocks,5
pack,4
life,4
daily,4
let,4
relief,3
continue,3
home,3
small,3
take,3
asked,3
said,3
carry,3
back,3
remove,3
abide,3
world,3
disciples,3
church,3
know,3
begin,3
every,3
real,3
first,2
men,2
together,2
difficult,2
years,2
son,2
primary,2
morning,2
family,2
carefully,2
placed,2
along,2
forward,2
backward,2
now,2
lighten,2
look,2
face,2
“dad,2
want,2
lord,2
enoch,2
rivers,2
turn,2
course,2
choosing,2
lives,2
walking,2
committed,2
becoming,2
lifelong,2
brothers,2
raised,2
dear,2
journey,2
way,2
please,2
savior,2
repentance,2
overcome,2
powerful,2
resolve,2
love,2
hope,2
name,2
faith,2
prophet,2
question,2
contend,2
burden,1
brother,1
david,1
wunderli,1
counselor,1
general,1
presidency,1
moments,1
ago,1
came,1
teacher,1
given,1
cherished,1
slept,1
protected,1
carried,1
school,1
saturday,1
decided,1
hike,1
nearby,1
canyon,1
six-year-old,1
backpack,1
it—he,1
packed,1
nothing,1
stopped,1
lunch,1
trail,1
got,1
busy,1
finding,1
unique,1
soon,1
large,1
pile,1
“sure,1
youll,1
yourself.”,1
agreed,1
began,1
filling,1
top,1
zipped,1
lifted,1
heavy,1
put,1
watched,1
took,1
step,1
five,1
steps,1
fell,1
ground,1
undaunted,1
opened,1
removed,1
three,1
try,1
fail,1
thinking,1
might,1
lesson,1
taught,1
lightheartedly,1
suggested,1
maybe,1
“that,1
load,”,1
never,1
forget,1
hurt,1
seemed,1
say,1
really,1
leave,1
behind?”,1
changed,1
youre,1
smart,1
thought,1
were.”,1
promised,1
“mountains,1
flee,1
thou,1
shalt,1
me.”,1
many,1
youth,1
today,1
gathering,1
record,1
numbers,1
temples,1
throughout,1
wake,1
sunrise,1
participate,1
seminary,1
serving,1
missions,1
resulting,1
gods,1
children,1
baptized,1
todays,1
rising,1
generation,1
gifted,1
talents,1
gather,1
attributes,1
empathy,1
understanding,1
recent,1
visit,1
west,1
africa,1
diane,1
sat,1
two,1
recently,1
joined,1
single,1
mother,1
humble,1
circumstances,1
gospel,1
done,1
16-year-old,1
joshua,1
simply,1
“relief.”,1
amazing,1
women,1
baptism,1
teenage,1
adulthood,1
found,1
collect,1
backpack—some,1
choice,1
nature,1
increases,1
remember,1
taking,1
answer,1
removing,1
load,1
enemy,1
happiness,1
wants,1
separate,1
tempt,1
enticing,1
think,1
road,1
easier,1
without,1
commandments,1
great,1
path,1
long,1
hard,1
satan,1
liar,1
affirmed,1
“in,1
ye,1
tribulation,1
good,1
cheer,1
world.”,1
taken,1
“upon,1
pains,1
sickness,1
people.”,1
suffered,1
“afflictions,1
temptations,1
kind,1
succor,1
us].”,1
pleading,1
loving,1
invitation,1
stay,1
make,1
sure,1
opposing,1
forces,1
aimed,1
separating,1
confidence,1
anchored,1
truth,1
wisdom,1
all-knowing,1
capacity,1
understand,1
forgive,1
deeper,1
ability,1
others,1
extension,1
love—his,1
infinite,1
love—and,1
“through,1
atonement,1
power,1
resurrection,1
unto,1
eternal⁠.”,1
keeping,1
requires,1
intentional,1
worship,1
reverently,1
intent,1
kneel,1
pray,1
father,1
study,1
scriptures,1
especially,1
book,1
mormon,1
reflect,1
witness,1
bears,1
guide,1
mists,1
darkness,1
exercise,1
trust,1
sincere,1
willing,1
live,1
covenants,1
day,1
renew,1
week,1
sisters,1
simple,1
abiding,1
eases,1
burdens,1
shapes,1
character,1
helps,1
become,1
brings,1
lasting,1
joy,1
interview,1
latter-day,1
saints,1
president,1
dallin,1
oaks,1
“if,1
phrase,1
scripture,1
image,1
members,1
right,1
prophetic,1
ministry,1
be?”,1
responded,1
“jesus,1
way.”,1
friends,1
moments—when,1
worth,1
doubt,1
capabilities,1
feel,1
alone,1
lifes,1
challenges,1
sends,1
hold,1
strong,1
allow,1
ease,1
burdens—allow,1
help,1
addiction,1
sorrows,1
cleanse,1
sins,1
yes,1
move,1
mountains,1
change,1
away,1
strength,1
amen,1
