word,count
christ,15
jesus,14
path,10
us,10
covenant,8
life,8
walk,7
one,7
guide,7
savior,7
way,6
living,5
prophet,5
every,5
taught,5
bind,4
follow,4
leads,4
finish,4
steep,4
race,4
blind,4
man,4
bound,4
eternal,4
father,4
unto,4
son,4
peter,4
prophets,4
home,3
ran,3
course,3
line,3
runner,3
alone,3
journey,3
heavenly,3
without,3
power,3
essential,3
god.”,3
go,3
church,3
children,3
apostles,3
elder,2
safely,2
last,2
difficult,2
world,2
stretch,2
runners,2
step,2
mountain,2
tethered,2
side,2
turned,2
demanding,2
moved,2
joy,2
want,2
face,2
need,2
heaven,2
perfect,2
many,2
god,2
bore,2
“i,2
truth,2
me.”,2
ordinances,2
enduring,2
never,2
will,2
turn,2
discipleship,2
time,2
thou,2
words,2
back,2
come,2
know,2
chosen,2
heareth,2
despiseth,2
reject,2
people,2
voice,2
testify,2
brian,1
holmes,1
seventy,1
year,1
wife,1
maggie,1
jungfrau-marathon,1
switzerland,1
set,1
heart,1
swiss,1
alps,1
considered,1
marathons,1
start,1
climbs,1
6,400,1
feet,1
1,900,1
meters,1
winds,1
beautiful,1
alpine,1
villages,1
rugged,1
high-mountain,1
terrain,1
views,1
carry,1
early,1
miles,1
final,1
turns,1
narrow,1
forcing,1
hike,1
rocky,1
single,1
file,1
ascent,1
demands,1
careful,1
attention,1
crossing,1
conquering,1
alphafoto.com,1
imagine,1
surprise,1
learned,1
finished,1
courageous,1
steeper,1
ahead,1
calling,1
obstacle,1
directing,1
accomplished,1
impossible,1
marathon,1
moments,1
beauty,1
park,1
cross,1
gain,1
yet,1
often,1
navigate,1
trials,1
greater,1
successfully,1
finishes,1
point,1
love,1
provided,1
helps,1
president,1
dallin,1
oaks,1
strongest,1
help,1
given,1
atonement,1
“has,1
done,1
everything,1
mortality,1
toward,1
destiny,1
outlined,1
plan,1
father.”,1
lived,1
sin,1
sorrow,1
broke,1
bands,1
death,1
stand,1
declare,1
cometh,1
simple,1
declaration,1
invites,1
celestial,1
choose,1
exercising,1
faith,1
repentance,1
receiving,1
gospel,1
end,1
nicodemus,1
“except,1
born,1
water,1
spirit,1
enter,1
kingdom,1
band,1
covenants,1
guide—jesus,1
david,1
bednar,1
“the,1
connection,1
resurrected,1
supernal,1
source,1
perspective,1
hope,1
peace,1
joy.”,1
sever,1
tie,1
remain,1
tightly,1
expect,1
bless,1
strength,1
even,1
experiencing,1
away,1
promise,1
blessings,1
flow,1
ongoing,1
faithfulness,1
merely,1
past,1
participation,1
gets,1
hard—and,1
will—we,1
remember,1
apostle,1
road,1
became,1
“walked,1
more”,1
twelve,1
asked,1
“will,1
ye,1
away?”,1
searching,1
question,1
reaches,1
answered,1
“lord,1
hast,1
“and,1
believe,1
sure,1
art,1
doubts,1
feels,1
others,1
moment,1
stay,1
nowhere,1
along,1
calls,1
speaks,1
governs,1
think,1
none,1
true,1
prophetic,1
witness,1
adam,1
noah,1
moses,1
joseph,1
smith,1
day,1
reveal,1
say,1
dont,1
jesus.”,1
said,1
“he,1
knowingly,1
definition,1
lord,1
warned,1
“every,1
walketh,1
image,1
perception,1
gradually,1
becomes,1
whatever,1
understanding,1
doctrine,1
shifts,1
commitment,1
standards,1
erodes,1
unity,1
dissolves,1
paul,1
“built,1
upon,1
foundation,1
chief,1
corner,1
stone.”,1
controlled,1
established,1
“that,1
henceforth,1
tossed,1
fro,1
carried,1
wind,1
doctrine.”,1
promised,1
“if,1
hearken,1
servants,1
appointed,1
lead,1
place.”,1
brothers,1
sisters,1
desires,1
beloved,1
climbed,1
steepest,1
weight,1
salvation,1
mountains,1
sacred,1
name,1
amen,1
