word,count
peter,20
jesus,17
day,17
days,15
worst,15
best,13
christ,13
story,7
will,7
strength,6
matter,5
bad,5
now,5
eternal,5
invitation,5
look,5
help,5
guide,5
things,4
ahead,4
true,4
thee,4
three,4
peters,4
knows,4
right,3
began,3
great,3
joy,3
greg,3
wasnt,3
god,3
us,3
truths,3
art,3
son,3
thou,3
savior,3
gods,3
plan,3
time,3
moments,3
lord,3
know,3
lords,3
faith,3
become,3
life,3
president,2
several,2
weeks,2
ago,2
go,2
mortality,2
work,2
disciples,2
empty,2
answered,2
unto,2
felt,2
spirit,2
truth,2
verses,2
good,2
often,2
boat,2
walked,2
water,2
read,2
saw,2
afraid,2
accepted,2
shore,2
advice,2
invitations,2
lets,2
begin,2
night,2
denied,2
knowing,2
luke,2
upon,2
knew,2
hard,2
wonder,2
words,2
thy,2
strengthen,2
cross,2
tomb,2
still,2
way,2
bear,2
witness,2
maybe,2
power,2
you.”,2
name,2
“jesus,2
emily,1
belle,1
freeman,1
young,1
women,1
general,1
planning,1
daughters,1
wedding,1
dreamed,1
brainstormed,1
considered,1
options,1
husband,1
received,1
phone,1
call,1
couldnt,1
ignore,1
oncologist,1
confirming,1
hoped,1
gregs,1
cancer,1
returned,1
isnt,1
amazing,1
minutes,1
proving,1
ground,1
place,1
designed,1
growth,1
learned,1
allows,1
us—and,1
includes,1
teaches,1
comes,1
walk,1
hold,1
fast,1
“when,1
came,1
coasts,1
caesarea,1
philippi,1
asked,1
say,1
ye,1
am?”,1
seen,1
nets,1
filled,1
storms,1
sea,1
calmed,1
loaves,1
multiplied,1
dead,1
raised,1
“thou,1
living,1
god,”,1
responded,1
“blessed,1
simon,1
flesh,1
blood,1
hath,1
revealed,1
father,1
heaven.”,1
must,1
confirmed,1
courageously,1
bore,1
testimony,1
later,1
shift,1
occurred,1
speak,1
coming,1
death,1
rebuked,1
saying,1
“this,1
be.”,1
“get,1
behind,1
satan,”,1
saviors,1
immediate,1
response,1
intentions—he,1
didnt,1
want,1
die—but,1
misunderstood,1
went,1
learn,1
understanding,1
forged,1
single,1
moment—testimony,1
built,1
proven,1
matthew,1
caught,1
storm,1
approached,1
ship,1
cried,1
“lord,1
bid,1
come,1
water.”,1
“come.”,1
stepped,1
“he,1
jesus.”,1
next,1
verse,1
wind,1
became,1
sink,1
unequal,1
task,1
doubt,1
experience,1
sinking,1
notice,1
seemed,1
big,1
shouting,1
instructions,1
offering,1
safety,1
water—with,1
within,1
reaching,1
distance,1
accept,1
consider,1
one,1
final,1
arrested,1
times,1
rooster,1
crowed,1
writes,1
“the,1
turned,1
looked,1
peter.”,1
think,1
experiences,1
tells,1
remembered,1
warning,1
cock,1
crowing,1
cant,1
remembering,1
encouraging,1
spoken,1
earlier,1
“i,1
prayed,1
fail,1
converted,1
brethren.”,1
perhaps,1
failure,1
instead,1
enabling,1
meant,1
carry,1
trial,1
passed,1
long,1
fishing,1
stood,1
galilee,1
extended,1
another,1
“feed,1
sheep.”,1
hadnt,1
failed,1
deep,1
love,1
store,1
fisherman,1
shepherd,1
sometimes,1
may,1
promises,1
truly,1
fulfilled,1
us—especially,1
seems,1
lost,1
especially,1
reminds,1
history,1
suggest,1
man,1
tried,1
stand,1
fathers,1
nearly,1
drowned,1
lack,1
times—and,1
first,1
apostle,1
given,1
priesthood,1
keys,1
preside,1
church,1
took,1
needed,1
dont,1
looks,1
today,1
opened,1
youth,1
wondering,1
promised,1
blessings,1
really,1
find,1
“gods,1
trust,1
even,1
hard.”,1
“god,1
wants,1
communicate,1
“pour,1
heart,1
listen,1
answers.”,1
worried,1
struggle,1
comfort,1
“walk,1
light,1
make,1
better,1
choices,1
see,1
clearly.”,1
“temple,1
ordinances,1
covenants,1
give,1
greater,1
access,1
blessings,”,1
navigate,1
divine,1
guidance,1
increase,1
companionship,1
angels,1
enable,1
live,1
privileges,1
draw,1
finally,1
brings,1
might,1
week,1
year,1
remember,1
absence,1
sorrow,1
presence,1
life.”,1
spend,1
realize,1
standards,1
suffering,1
angel,1
sent,1
betrayal,1
friend,1
calvary,1
garden,1
stone,1
rolled,1
away,1
amen,1
