word,count
us,17
sacrament,14
will,10
holy,9
ghost,8
feel,7
love,6
partake,6
ordinance,6
ye,6
know,5
president,5
time,5
christ,5
sacred,5
influence,4
always,4
blood,4
remember,4
spirit,4
you.”,4
given,4
jesus,4
saviors,3
thought,3
prophet,3
dallin,3
oaks,3
days,3
constant,3
lord,3
gave,3
saying,3
“and,3
shed,3
unto,3
cup,3
prayer,2
dear,2
brothers,2
sisters,2
savior,2
loves,2
never,2
emphasize,2
nelson,2
possible,2
survive,2
spiritually,2
without,2
adversary,2
name,2
remembrance,2
father,2
promise,2
read,2
broken,2
heart,2
companionship,2
important,2
luke,2
new,2
testament,2
says,2
“this,2
meeting,2
help,2
elder,1
pedro,1
larreal,1
seventy,1
much,1
hope,1
end,1
message,1
find,1
answer,1
question,1
weeks,1
ago,1
devotional,1
students,1
brigham,1
young,1
university,1
began,1
talk,1
sharing,1
“i,1
warning,1
russell,1
issued,1
‘in,1
coming,1
guiding,1
directing,1
comforting,1
one,1
many,1
reasons,1
need,1
live,1
season,1
become,1
effective,1
disguising,1
truth,1
dont,1
deceived.”,1
renew,1
week,1
personally,1
preparing,1
resurrected,1
emphasized,1
importance,1
visited,1
americas,1
instituted,1
among,1
faithful,1
nephites,1
lamanites,1
blessed,1
emblems,1
disciples,1
multitude,1
commanded,1
repent,1
baptized,1
may,1
witness,1
replaces,1
sacrifices,1
burnt,1
offerings,1
mosaic,1
law,1
receive,1
nephi,1
9:20,1
whoso,1
cometh,1
contrite,1
baptize,1
fire,1
ghost.”,1
promises,1
blessing,1
guidance,1
represents,1
atonement,1
moment,1
give,1
full,1
attention,1
focus,1
atoning,1
sacrifice,1
great,1
willingly,1
volunteered,1
advocate,1
22:19–20,1
took,1
bread,1
thanks,1
brake,1
body,1
“likewise,1
supper,1
spoke,1
words,1
found,1
focused,1
benefit,1
notice,1
body⁠,1
following,1
verse,1
uses,1
pronoun,1
remind,1
us—for,1
makes,1
church,1
strive,1
remove,1
every,1
worldly,1
minds,1
prayerful,1
reverent,1
reading,1
secular,1
books,1
magazines,1
checking,1
cell,1
phones,1
alone,1
trials,1
challenges,1
taught,1
“by,1
participating,1
weekly,1
appropriately,1
qualify,1
‘always,1
d&c,1
20:77).”,1
gift,1
compass,1
leads,1
make,1
correct,1
choices,1
sanctifies,1
sin,1
easter,1
sunday,1
celebrate,1
resurrection,1
want,1
invite,1
strength,1
leave,1
today,1
determined,1
elevate,1
spiritual,1
preparation,1
reverence,1
vital,1
said,1
latter,1
lives,1
knows,1
arms,1
outstretched,1
ready,1
beyond,1
comprehend,1
rest,1
testify,1
mantle,1
seer,1
revelator,1
amen,1
