word,count
christ,15
guide,15
jesus,10
will,10
us,9
mines,8
follow,7
winta,6
land,5
come,5
war,5
walk,5
invitation,5
unto,5
father,5
need,4
spiritual,4
border,4
footsteps,4
christs,4
path,4
heal,4
may,4
president,3
days,3
sacred,3
resurrected,3
work,3
areas,3
injured,3
personal,3
me.”,3
even,3
perfect,3
accept,3
feel,3
love,3
savior,3
lifes,2
journey,2
amid,2
easter,2
morning,2
id,2
experience,2
much,2
lives,2
holy,2
bear,2
witness,2
grow,2
several,2
travel,2
known,2
step,2
provided,2
special,2
area,2
region,2
knew,2
places,2
following,2
knows,2
followed,2
trust,2
gratitude,2
denieth,2
none,2
invites,2
weaknesses,2
completely,2
declared,2
example,2
ye,2
strive,2
saviors,2
atonement,2
suffered,2
“jesus,2
sins,2
short,2
thus,2
within,2
covenant,2
exercising,2
faith,2
repenting,2
heavenly,2
imperfect,2
power,2
please,2
now,2
return,2
extended,2
redeemer,2
choose,1
elder,1
edward,1
rowe,1
seventy,1
listened,1
freeman,1
talk,1
good,1
bad,1
thought,1
“ed,1
youre,1
find,1
two,1
is.”,1
share,1
helped,1
understand,1
pray,1
ghost,1
desire,1
years,1
ago,1
young,1
lawyer,1
involved,1
resolving,1
dispute,1
countries,1
required,1
foot,1
remote,1
part,1
recent,1
zone,1
thousands,1
laid,1
expert,1
deminers,1
working,1
deactivate,1
surprise,1
locations,1
consequently,1
occasion,1
people,1
accidentally,1
killed,1
help,1
complete,1
named,1
well,1
town,1
attacked,1
escaped,1
volunteered,1
stay,1
throughout,1
observe,1
activities,1
opposing,1
army,1
terrain,1
occurred,1
possible,1
undetected,1
given,1
instructions,1
carefully,1
paces,1
behind,1
goes,1
go,1
steps,1
literally,1
wintas,1
many,1
first,1
felt,1
uncertain,1
apprehensive,1
hiking,1
times,1
abandoned,1
trenches,1
destroyed,1
villages,1
armies,1
walked,1
together,1
remained,1
safe,1
confidence,1
grew,1
thanks,1
completed,1
without,1
harm,1
safely,1
returned,1
home,1
walking,1
developed,1
great,1
brothers,1
sisters,1
needed,1
ive,1
learned,1
importantly,1
constant,1
consistent,1
“come,1
“walk,1
“return,1
all—whoever,1
wherever,1
“he,1
inviteth,1
partake,1
goodness,1
him.”,1
one,1
alone,1
“the,1
son,1
god,1
heaven,1
earth,1
creator,1
things,1
beginning”,1
us—we,1
“labour,1
heavy,1
laden”,1
imperfections—to,1
obedient,1
“i,1
set,1
you.”,1
“that,1
seen,1
do.”,1
strengthen,1
protect,1
satans,1
infinite,1
individual,1
humanity—he,1
individually,1
russell,1
nelson,1
taught,1
took,1
upon,1
pains,1
heartaches,1
infirmities.”,1
personally,1
based,1
distinct,1
strengths,1
circumstances,1
though,1
paths,1
life,1
unique,1
enter,1
connect,1
making,1
promises,1
covenants,1
temple,1
experiences,1
partaking,1
sacrament,1
praying,1
studying,1
scriptures,1
ministering,1
others,1
time,1
spend,1
way—and,1
example—the,1
develop,1
deep,1
bond,1
relationship,1
blessed,1
strength,1
greater,1
natures,1
change,1
become,1
joy,1
followers,1
indeed,1
“all,1
sinned,1
glory,1
god.”,1
loving,1
answered,1
ends,1
law,1
gave,1
imperfectly,1
know,1
true,1
experienced,1
redeeming,1
healing,1
real,1
intent,1
spiritually,1
healed,1
promise,1
“will,1
repent,1
converted,1
arm,1
mercy,1
towards,1
whosoever,1
receive.”,1
guide—he,1
master,1
healer,1
matter,1
inadequate,1
loves,1
merciful,1
hand,1
take,1
struggle,1
stray,1
let,1
us—that,1
dallin,1
oaks,1
way!”,1
name,1
amen,1
