word,count
jesus,18
christ,18
may,9
resurrection,8
god,8
“the,8
resurrected,7
ye,7
hands,7
father,6
lord,5
hand,5
joy,5
live,5
risen,4
prophet,4
first,4
son,4
bear,4
will,4
body,4
“he,4
words,4
forth,4
come,4
feel,4
know,4
whole,4
apostles,3
death,3
us,3
brothers,3
spoke,3
testament,3
appeared,3
name,3
see,3
witness,3
love,3
said,3
thee,3
unto,3
one,3
paxton,3
savior,3
paxtons,3
secured,2
salvation,2
physical,2
gods,2
children,2
throughout,2
ages,2
easter,2
sisters,2
atonement,2
doctrine,2
latter-day,2
beloved,2
testimony,2
prophets,2
rose,2
called,2
world,2
world”,2
new,2
book,2
mormon,2
came,2
three,2
tomb,2
king,2
mary,2
two,2
gratitude,2
faith,2
testified,2
power,2
reunited,2
spirit,2
heavens,2
saying,2
disciples,2
land,2
“behold,2
well,2
him.”,2
man,2
heaven,2
stood,2
them.”,2
world.”,2
earthly,2
feet,2
gave,2
promised,2
isaiah,2
earth,2
souls,2
little,2
brought,2
took,2
blessed,2
years,2
parents,2
lived,2
reached,2
family,2
special,2
also.”,2
perfect,2
elder,1
ronald,1
rasband,1
quorum,1
twelve,1
sunday,1
christians,1
honor,1
celebrate,1
redeemer,1
powerful,1
far-reaching,1
sacred,1
events,1
human,1
history,1
core,1
church,1
saints,1
joseph,1
smith,1
restoration,1
saw,1
taught,1
fundamental,1
principles,1
religion,1
concerning,1
died,1
buried,1
third,1
day,1
ascended,1
heaven.”,1
apostle,1
truth,1
abraham,1
isaac,1
jacob,”,1
almighty,1
god”,1
old,1
light,1
messiah”,1
“savior,1
revelation,1
crucified,1
days,1
borrowed,1
broke,1
bands,1
imposed,1
fall,1
includes,1
herald,1
unjust,1
someday,1
recognize,1
kings,”,1
prophesied,1
“every,1
knee,1
bow,1
every,1
tongue,1
confess”,1
faithful,1
women,1
approached,1
garden,1
care,1
found,1
angels,1
announced,1
risen.”,1
glorious,1
risen,”,1
sparked,1
religious,1
ceremony,1
promises,1
centuries,1
president,1
dallin,1
oaks,1
pillar,1
adds,1
meaning,1
motivation,1
behavior,1
hope,1
future.”,1
mortal,1
laid,1
manger,1
friend,1
teacher,1
rabbi,1
minister,1
begotten,1
divine,1
design,1
godly,1
majestic,1
monumental,1
event,1
eternal,1
plan,1
tenderness,1
“handle,1
hath,1
flesh,1
bones,1
have.”,1
walked,1
road,1
emmaus,1
pleaded,1
“abide,1
us.”,1
“endless,1
eternal,”,1
hundreds,1
holy,1
accounts,1
another,1
gathering,1
temple,1
bountiful,1
heard,1
voice,1
pleased,1
glorified,1
name—hear,1
beheld,1
“a,1
descending,1
clothed,1
white,1
robe,1
midst,1
stretched,1
hand.”,1
image,1
stretching,1
outstretched,1
known,1
ministry,1
rescued,1
peter,1
began,1
sink,1
choppy,1
waves,1
sea,1
galilee,1
motioned,1
crippled,1
pool,1
bethesda,1
“rise,1
walk.”,1
washed,1
“took,1
bread,1
thanks,1
brake,1
it,”,1
initiating,1
sacrament,1
“in,1
remembrance,1
of”,1
“fear,1
thou,1
thy,1
uphold,1
right,1
righteousness.”,1
promise,1
“arise,1
thrust,1
side,1
prints,1
nails,1
israel,1
slain,1
sins,1
multitude,1
2,500,1
“went,1
eyes,1
surety,1
record,1
he.”,1
invited,1
“their,1
children”,1
“one,1
prayed,1
scene,1
reaching,1
nailed,1
cross,1
touches,1
deeply,1
ago,1
general,1
conference,1
grandson,1
born,1
rare,1
chromosomal,1
deletion,1
carried,1
“afflicted,1
manner”,1
might,1
heal,1
treasured,1
speak,1
crawl,1
walk,1
run,1
affection,1
remember,1
time,1
priesthood,1
blessing,1
says,1
scriptures,1
works,1
made,1
manifest,1
immense,1
families,1
precious,1
member,1
privilege,1
needs,1
associating,1
gained,1
increased,1
deep,1
abiding,1
trust,1
home,1
psalmist,1
say,1
“weeping,1
endure,1
night,1
cometh,1
morning.”,1
“because,1
tender,1
“spirit,1
form.”,1
gospel,1
beyond,1
expression,1
reunite,1
grandparents,1
siblings,1
aunts,1
uncles,1
cousins,1
ancestors,1
peace,1
“where,1
believe,1
lords,1
“i,1
graven,1
upon,1
palms,1
hands.”,1
testify,1
way,1
stirring,1
tell,1
joyful,1
voice”,1
“let,1
wide,1
rejoice.”,1
christ—the,1
glory,1
messiah,1
triumphant,1
bright,1
morning,1
star,1
morn,1
life—i,1
reverence,1
amen,1
