word,count
jesus,21
will,20
ball,20
christ,17
us,15
blue,10
yellow,10
back,8
atonement,7
savior,6
one,6
life,6
infinite,5
lady,5
picked,5
dropped,5
many,5
every,5
power,5
sins,5
lives,4
great,4
concerns,4
easter,4
death,4
completed,4
father,4
repent,4
even,4
focusing,3
joy,3
anyone,3
day,3
balls,3
began,3
running,3
need,3
may,3
value,3
let,3
atoning,3
plan,3
everyone,3
save,3
redeemer,3
spiritual,3
made,3
lord,3
done,2
bring,2
clarity,2
little,2
dog,2
willing,2
throw,2
two,2
time,2
turned,2
around,2
discouraged,2
possible,2
crawl,2
bed,2
add,2
modern,2
helps,2
greatest,2
consider,2
matter,2
fathers,2
cross,2
heavenly,2
salvation,2
“all,2
live,2
unto,2
me.”,2
celebrate,2
resurrection,2
end,2
never,2
desire,2
follow,2
us].”,2
punishment,2
name,2
sacrifice,2
forgive,2
repented,2
leave,2
afflictions,2
christ.”,2
always,2
president,2
elder,1
dale,1
renlund,1
quorum,1
twelve,1
apostles,1
years,1
ago,1
family,1
black,1
toy,1
poodle,1
named,1
smart,1
energetic,1
fetching,1
retrieve,1
anytime,1
anyplace,1
long,1
repeatedly,1
throwing,1
fetch,1
decided,1
chased,1
saw,1
dashed,1
started,1
seemed,1
think,1
ran,1
returning,1
passing,1
stopped,1
resumed,1
scampered,1
passed,1
came,1
screeching,1
halt,1
looked,1
forth,1
gave,1
walked,1
basket,1
lay,1
became,1
confused,1
overwhelmed,1
deal,1
red,1
green,1
orange,1
purple,1
polka,1
dots,1
stripes,1
combination,1
feel,1
lady—overwhelmed,1
discouraged—and,1
want,1
days,1
eliminate,1
brings,1
offer,1
counsel,1
matters,1
equal,1
maintaining,1
eternal,1
perspective,1
prioritize,1
things,1
sunday,1
“infinite,1
virtue,1
sacrifice”,1
must,1
manage,1
mission,1
fruits,1
bless,1
infinitely,1
daily,1
lived,1
died,1
atonement—the,1
series,1
events,1
experienced,1
gethsemane,1
glorious,1
resurrection—is,1
central,1
depended,1
alternative,1
thereby,1
received,1
heaven,1
earth.”,1
merits,1
mercy,1
grace,1
return,1
home,1
presence,1
said,1
“i,1
way,1
truth,1
man,1
cometh,1
leads,1
reflect,1
reasons,1
first,1
conquered,1
literally,1
rose,1
tomb,1
universal,1
unconditional,1
gift,1
comes,1
earth,1
spirit,1
body,1
reunited,1
divided,1
second,1
“immediately,1
redemption,1
brought,1
suffered,1
everyones,1
transgressions,1
mistakes,1
declare,1
guiltless,1
believe,1
covenant,1
path,1
strive,1
endure,1
mankind,1
saved”,1
means,1
capacity,1
promising,1
“as,1
often,1
people,1
trespasses,1
sincerely,1
scar,1
track,1
trace,1
scarlet,1
letter,1
wear,1
now,1
eternities,1
real,1
intent,1
entirety,1
sin,1
part,1
figuratively,1
nailed,1
longer,1
bear,1
consequences,1
owe,1
justice,1
paid,1
debt,1
pardons,1
deserved,1
forgiven,1
hearts,1
hands,1
clean,1
remembers,1
god,1
“is,1
mighty,1
rejoice,1
third,1
understands,1
challenges,1
taken,1
griefs,1
sicknesses,1
frailties,1
endured,1
empathizes,1
perfectly,1
“calm,1
anguish”,1
offers,1
“gentle,1
peace,1
beseeching.”,1
factor,1
shapes,1
genetics,1
intellectual,1
abilities,1
traditions,1
experiences,1
mental,1
emotional,1
conditions,1
circumstance,1
affects,1
eventually,1
judge,1
“according,1
works,1
according,1
hearts.”,1
unfair,1
right,1
consecrate,1
gain,1
sanctify,1
deepest,1
distress,1
fill,1
sweet,1
bitter,1
cup,1
dependably,1
consistently,1
make,1
whole,1
“suffer,1
manner,1
swallowed,1
ancient,1
prophets,1
direct,1
remember,1
russell,1
nelson,1
taught,1
“whatever,1
questions,1
problems,1
answer,1
found,1
teachings,1
dallin,1
oaks,1
lords,1
living,1
prophet,1
today,1
simply,1
declared,1
“jesus,1
way.”,1
lady—confused,1
overwhelmed—when,1
facing,1
cower,1
instead,1
keep,1
eye,1
focus,1
seek,1
“precious,1
gifts,1
impart.”,1
joyfully,1
confidently,1
sing,1
children,1
trust,1
hear,1
call,1
fall,1
gives,1
lifts,1
comforts,1
helping,1
grow,1
eternally,1
help,1
along,1
earthly,1
journey,1
redeem,1
physical,1
joyous,1
message,1
reflecting,1
blessings,1
receive,1
“open,1
wide,1
broken,1
heart,1
in!”,1
morning,1
witness,1
“the,1
wonderful,1
love,1
manifest,1
son,1
coming,1
world.”,1
begotten,1
worthy,1
lamb,1
slain,1
advocate,1
assuredly,1
risen,1
“he,1
dead.”,1
amen,1
