word,count
christ,18
jesus,17
us,15
will,10
life,9
love,7
heavenly,7
father,7
lord,6
day,6
savior,6
covenants,6
nathalie,6
god,5
now,5
divine,5
made,5
easter,4
many,4
come,4
unto,4
eternal,4
house,4
children,4
great,4
faith,4
joy,3
covenant,3
relationship,3
going,3
gods,3
infinite,3
son,3
sunday,3
people,3
greeting,3
atonement,3
without,3
death,3
end,3
faithfully,3
prophet,3
know,3
face,3
president,3
dark,3
sorrow,3
“the,3
mutombo,2
wherever,2
whatever,2
feel,2
manifested,2
teach,2
special,2
way,2
among,2
risen.”,2
person,2
resurrection,2
peace,2
reassurance,2
hope,2
return,2
purpose,2
ye,2
extended,2
blessed,2
makes,2
baptism,2
experienced,2
lives,2
asked,2
allan,2
miracle,2
plan,2
decided,2
take,2
change,2
mind,2
tradition,2
prayed,2
words,2
came,2
felt,2
saviors,2
“im,2
dallin,2
oaks,2
times,2
men,2
sometimes,2
things,2
work,2
days,2
please,2
remember,2
forever,2
keep,2
presence,2
testify,2
risen,2
elder,1
thierry,1
seventy,1
beloved,1
brothers,1
sisters,1
im,1
humbled,1
privilege,1
speak,1
pray,1
spirit,1
sacred,1
moment,1
continue,1
inspire,1
gather,1
disciples,1
worship,1
parts,1
world,1
use,1
unique,1
exchanging,1
greetings,1
morning,1
paschal,1
known,1
acclamation,1
custom,1
christians,1
greeter,1
says,1
“christ,1
responds,1
“truly,1
simple,1
declaration,1
celebration,1
gift,1
offered,1
understanding,1
offers,1
brings,1
comfort,1
christs,1
one,1
confirmed,1
saying,1
“if,1
behold,1
mine,1
arm,1
mercy,1
towards,1
whosoever,1
receive,1
me.”,1
“come,1
me”,1
invitation,1
means,1
indeed,1
waters,1
deepens,1
additional,1
kept,1
difficult,1
time,1
husband,1
wife,1
companions,1
mention,1
younger,1
ask,1
“how?”,1
respond,1
“this,1
simply,1
is.”,1
four,1
beginning,1
marriage,1
passing,1
three,1
wondered,1
questions,1
joseph,1
smith,1
liberty,1
jail,1
“heavenly,1
art,1
thou,1
hear,1
cries,1
prayers?”,1
soon,1
learned,1
trials,1
nine-month-old,1
baby,1
passed,1
away,1
found,1
crib,1
holding,1
body,1
arms,1
cried,1
begging,1
perfect,1
back,1
prayers,1
add,1
challenge,1
funeral,1
families,1
gathered,1
consulting,1
required,1
separate,1
wifes,1
belongings,1
outside,1
lost,1
went,1
asking,1
strength,1
adversity,1
wonderful,1
hymn,1
written,1
emma,1
lou,1
thayne,1
“where,1
turn,1
peace?”,1
remembered,1
temple,1
sealing,1
promises,1
daughter,1
loving,1
caring,1
hand,1
lifting,1
empty,1
hands,1
told,1
sorry,1
companion,1
striving,1
together,1
build,1
family,1
helping,1
achieve,1
it.”,1
opposed,1
decision,1
exercising,1
stronger,1
teaching,1
discipleship,1
said,1
“following,1
casual,1
occasional,1
practice,1
continuous,1
commitment,1
guide,1
places,1
teachings,1
example,1
define,1
path,1
every,1
disciple,1
christ.”,1
keeping,1
“would,1
require,1
followers,1
leave,1
called,1
‘that,1
highly,1
esteemed,1
luke,1
16:15,1
‘the,1
mark,1
7:8).”,1
happened,1
stood,1
truth,1
light,1
received,1
strong,1
confirmation,1
works,1
miracles,1
according,1
mortality,1
need,1
may,1
say,1
facing,1
challenge—how,1
apply,1
me?”,1
mortal,1
hoped,1
darkness,1
humiliated,1
bruised,1
abused,1
reviled,1
lifted,1
cross,1
filled,1
devastating,1
consuming,1
gnawed,1
souls,1
loved,1
honored,1
doom,1
last,1
despair,1
linger,1
resurrected,1
overcame,1
bonds,1
matter,1
fathers,1
happiness,1
gives,1
laws,1
commandments,1
bless,1
desire,1
glory,1
pure,1
proven,1
worthy,1
eternity,1
adversarys,1
goal,1
seeks,1
“be,1
miserable,1
himself.”,1
break,1
bring,1
upon,1
committed,1
destruction,1
satans,1
program,1
often,1
described,1
“play,1
pay,1
later.”,1
tries,1
never,1
consequences,1
accountability,1
actions,1
ezra,1
taft,1
benson,1
taught,1
test,1
obedience,1
task,1
learn,1
commandment,1
lord.”,1
grow,1
humility,1
strengthen,1
covenantal,1
nature,1
become,1
child,1
building,1
rock,1
yielding,1
responding,1
holy,1
ghosts,1
direction,1
earth,1
truly,1
name,1
amen,1
