word,count
character,20
christ,19
us,19
jesus,14
will,13
heart,11
others,9
christlike,8
change,7
love,7
president,5
mighty,5
people,5
faith,5
holy,5
pure,5
god,5
world,5
second,4
must,4
thoughts,4
desires,4
peter,4
“the,4
great,4
lord,4
one,4
spiritual,4
power,4
life,4
elder,4
bednar,4
needs,4
lords,4
intents,3
question,3
come,3
return,3
time,3
day,3
earth,3
ye,3
lives,3
name,3
virtue,3
integrity,3
humility,3
compassion,3
king,3
spirit,3
good,3
called,3
repentance,3
grace,3
help,3
influence,3
gifts,3
qualities,3
christs,3
man,3
suffering,3
moral,3
church,3
may,3
succeed,2
developing,2
possess,2
motivations—his,2
apostle,2
reminds,2
days,2
coming,2
“there,2
pass,2
know,2
“what,2
manner,2
persons,2
be?”,2
preparing,2
without,2
become,2
upon,2
consider,2
tend,2
attributes,2
courage,2
traits,2
call,2
following,2
benjamins,2
prophetic,2
hearts,2
children,2
daughters,2
hath,2
spiritually,2
changed,2
case,2
almost,2
requires,2
ghost,2
sustained,2
matter,2
striving,2
news,2
among,2
said,2
willingness,2
“when,2
recalls,2
woman,2
years,2
ago,2
two,2
young,2
accident,2
turning,2
agony,2
father,2
taught,2
minister,2
even,2
devotion,2
selflessness,2
address,2
dallin,2
oaks,2
meek,2
heart.”,2
every,2
example,2
missionaries,2
desire,2
glorify,2
strive,2
“life,2
excellence”,2
right,2
be.”,2
pray,2
todd,1
christofferson,1
counselor,1
first,1
presidency,1
latter,1
doubters,1
last,1
scoffers,1
walking,1
lusts,1
saying,1
promise,1
coming?”,1
“lord,1
slack”,1
seeming,1
delay,1
long-suffering,1
mercy,1
giving,1
repent,1
dreadful,1
lord.”,1
“but,1
come,”,1
forcefully,1
declares,1
“…,1
heavens,1
away,1
noise,1
elements,1
melt,1
fervent,1
heat,1
works,1
therein,1
burned,1
up.”,1
establish,1
new,1
righteousness,1
prevails,1
asks,1
counsels,1
diligently,1
now,1
comes,1
find,1
“in,1
peace,1
spot,1
blameless,”,1
leading,1
holiness,1
pondered,1
peters,1
decided,1
speak,1
today,1
emulating,1
“manner,1
persons”,1
acquiring,1
important,1
ways,1
take,1
savior,1
focus,1
immediately,1
gives,1
rise,1
believe,1
natural,1
fruit,1
grows,1
thus,1
require,1
scriptures,1
inspired,1
discourse,1
testified,1
omnipotent,1
wrought,1
disposition,1
evil,1
continually.”,1
benjamin,1
responded,1
“ye,1
sons,1
behold,1
begotten,1
say,1
name.”,1
rebirth,1
instantaneous,1
occurs,1
incrementally,1
either,1
outcome,1
equally,1
valid,1
cases,1
baptismal,1
covenant,1
obedience,1
yes,1
consistent,1
effort,1
part,1
remember,1
simply,1
gospel,1
baptism,1
confirmation,1
promises,1
companionship,1
messenger,1
receive,1
godliness”,1
transformative,1
produces,1
accompany,1
want,1
carry,1
mention,1
three,1
foremost,1
motives,1
form,1
charity,1
christ.”,1
creation,1
led,1
offer,1
redeemer,1
atonement,1
supreme,1
act,1
“greater,1
lay,1
friends.”,1
yields,1
patience,1
correct,1
moved,1
ghost,”,1
certainly,1
forgive,1
david,1
stake,1
calling,1
request,1
visit,1
women,1
taken,1
hospital,1
horrific,1
automobile,1
moment,1
sister,1
received,1
another,1
phone,1
terrible,1
daughter,1
died,1
injuries,1
calm,1
deliberate,1
voice,1
“president,1
contact,1
mothers,1
let,1
much,1
condition,1
soon,1
hospital.”,1
self-pity,1
inward,1
devoted,1
manifested,1
immediate,1
instinctive,1
outward,1
attend,1
mothers.”,1
observes,1
“character,1
revealed,1
discern,1
ability,1
detect,1
hunger,1
hungry,1
reach,1
extend,1
midst,1
distress.”,1
think,1
near,1
death,1
cross,1
remembering,1
mother,1
mary,1
placing,1
care,1
beloved,1
john,1
motivation,1
underlies,1
saviors,1
passion,1
foster,1
happiness,1
advancement,1
entire,1
object,1
harmony,1
bring,1
immortality,1
eternal,1
gods,1
apostles,1
“whosoever,1
“for,1
son,1
came,1
ministered,1
unto,1
give,1
ransom,1
many.”,1
grow,1
well-being,1
success,1
include,1
meekness,1
recent,1
brigham,1
university,1
counseled,1
“look,1
follows.”,1
“learn,1
lowly,1
models,1
self-control,1
using,1
withholding,1
considerable,1
powers,1
best,1
situation,1
better,1
tens,1
thousands,1
devote,1
months,1
exclusively,1
serving,1
often,1
strangers,1
offering,1
matchless,1
forgiveness,1
third,1
motivating,1
force,1
essential,1
fulfill,1
fathers,1
particular,1
declared,1
“my,1
meat,1
sent,1
finish,1
work.”,1
leads,1
honor,1
paradigm,1
“was,1
points,1
tempted,1
yet,1
sin.”,1
toward,1
ideal,1
kim,1
clark,1
pursuing,1
“virtue,1
pattern,1
thought,1
behavior,1
based,1
high,1
standards,1
fidelity,1
clean,1
physically.”,1
entails,1
search,1
truth,1
thinking,1
action,1
final,1
year,1
russell,1
nelson,1
pleaded,1
“our,1
words,1
actions,1
need,1
unfailingly,1
virtuous,1
filled,1
towards,1
men,1
opportunity,1
summary,1
thinks,1
acts,1
yearns,1
bless,1
lift,1
delights,1
effect,1
instill,1
divine,1
motivations,1
practice,1
keep,1
repenting,1
improve,1
follow,1
“which,1
bringeth,1
“become,1
adopting,1
personal,1
preparation,1
primary,1
element,1
glorious,1
millennial,1
reign,1
underestimate,1
individuals,1
working,1
always,1
jesuss,1
approach,1
changing,1
society,1
establishing,1
kingdom,1
aggregation,1
individual,1
choices,1
forms,1
changes,1
societies,1
ill,1
alone,1
joyful,1
easter,1
sunday,1
bear,1
testimony,1
resurrected,1
living,1
head,1
preside,1
spokesman,1
mirror,1
appear,1
hope,1
purified,1
pure,”,1
amen,1
