word,count
remember,20
jesus,11
commandments,11
christ,10
god,10
ye,9
will,9
every,8
us,8
keep,7
unto,6
foundation,6
kite,5
winds,5
book,4
mormon,4
state,4
father,4
string,4
yea,4
upon,4
resurrection,3
easter,3
let,3
“remember,3
“and,3
behold,3
spiritual,3
dwell,3
never-ending,3
happiness,3
hath,3
gods,3
cut,3
day,3
higher,3
plan,3
come,3
salvation,3
build,3
agency,3
wisely,3
elder,2
promise,2
redemption,2
hope,2
assurance,2
eternal,2
life,2
flows,2
especially,2
season,2
savior,2
know,2
reminders,2
thought,2
five,2
remember”,2
verses,2
blessed,2
things,2
temporal,2
hold,2
end,2
“o,2
son,2
said,2
lives,2
little,2
caused,2
mortal,2
rise,2
return,2
heavenly,2
sons,2
words,2
saved,2
atoning,2
blood,2
exaltation,2
now,2
rock,2
mighty,2
sacred,2
covenants,2
whosoever,2
perisheth,2
doeth,2
act,2
given,2
knowledge,2
use,2
resurrected,2
chi,1
hong,1
sam,1
wong,1
seventy,1
sunday,1
ultimate,1
celebration,1
christs,1
redeeming,1
mission,1
invites,1
disciples,1
rejoice,1
want,1
find,1
years,1
ago,1
pondered,1
questions,1
clear,1
came,1
mind,1
put,1
remind,1
remember,”,1
parents,1
moreover,1
desire,1
consider,1
happy,1
faithful,1
received,1
heaven,1
thereby,1
may,1
true,1
lord,1
spoken,1
it.”,1
keeping,1
blessing,1
endure,1
isnt,1
amazingly,1
wonderful,1
happen,1
helaman,1
strict,1
prosper,1
land—but,1
presence.”,1
reminds,1
firm,1
obedience,1
brings,1
promised,1
blessings,1
president,1
dallin,1
oaks,1
shared,1
guide,1
steady,1
“our,1
experiences,1
mortality,1
boy,1
flying,1
windy,1
rose,1
tug,1
connecting,1
boys,1
hand,1
inexperienced,1
force,1
proposed,1
wise,1
counseled,1
explaining,1
holds,1
place,1
lose,1
carried,1
inevitably,1
crash,1
earth.”,1
need,1
coming,1
agreed,1
“[shout,1
joy”,1
job,1
38:7,1
king,1
benjamin,1
spake,1
people,1
way,1
means,1
whereby,1
man,1
cometh,1
redeem,1
world.”,1
stands,1
heart,1
without,1
victory,1
sin,1
death,1
path,1
back,1
whole,1
redeemer,1
must,1
devil,1
send,1
forth,1
shafts,1
whirlwind,1
hail,1
storm,1
beat,1
power,1
drag,1
gulf,1
misery,1
endless,1
wo,1
built,1
sure,1
whereon,1
men,1
fall.”,1
david,1
bednar,1
taught,1
secure,1
“the,1
ordinances,1
saviors,1
restored,1
gospel,1
compared,1
anchor,1
pins,1
steel,1
rods,1
used,1
connect,1
building,1
bedrock,1
time,1
faithfully,1
receive,1
review,1
renew,1
anchors,1
secured,1
firmly,1
steadfastly,1
‘rock,1
christ.”,1
brethren,1
iniquity,1
free,1
permitted,1
made,1
free.”,1
written,1
future,1
study,1
pages,1
truth,1
understand,1
teachings,1
begin,1
shape,1
hearts,1
internalize,1
messages,1
immerse,1
guided,1
discern,1
right,1
wrong,1
empowered,1
god-given,1
still,1
sets,1
presence,1
fall,1
choose,1
wants,1
pray,1
unitedly,1
moral,1
prepare,1
glorious,1
body,1
name,1
amen,1
