word,count
us,25
jesus,23
glory,22
christ,16
nephi,10
rejoice,9
name,8
will,6
hath,5
god,5
lord,5
relationship,4
nephis,4
love,4
joy,4
power,4
mercy,4
yea,4
unto,4
help,4
brothers,3
sisters,3
soul,3
names,3
savior,3
experienced,3
afflictions,3
“he,3
every,3
one,3
let,3
much,3
say,3
part,3
death,3
invites,3
near,3
ammon,2
inspire,2
deepen,2
many,2
ways,2
easter,2
book,2
mormon,2
prophet,2
“i,2
beautifully,2
loving,2
son,2
redeemer,2
way,2
“my,2
trials,2
know,2
heaven,2
god.”,2
reflecting,2
temptations,2
me.”,2
trusted,2
thee,2
“who,2
mighty,2
sin,2
joyfully,2
behold,2
children,2
smallest,2
feel,2
peace,2
fills,2
arms,2
saying,2
receive,2
promise,2
home,2
physical,2
perfect,2
lovingly,2
father,2
christs,2
atoning,2
sacrifice,2
commandments,2
covenants,2
living,2
experience,2
pains,2
mortal,2
draw,2
find,2
heavenly,2
elder,1
aaron,1
hall,1
seventy,1
happy,1
risen,1
concludes,1
teaching,1
bears,1
powerful,1
witness,1
plainness,1
truth,1
redeemed,1
hell.”,1
short,1
phrase,1
jesus,”,1
captures,1
messiah,1
books,1
different,1
reveals,1
something,1
majesty,1
character,1
mission,1
world,1
yet,1
expression,1
refers,1
familiar,1
endearing,1
jesus.”,1
someone,1
distant,1
merely,1
known,1
salvation,1
deliverance,1
became,1
even,1
personal,1
came,1
“there,1
none,1
given,1
whereby,1
man,1
saved,1
kingdom,1
redemption,1
gloried,1
weakness,1
shares,1
glories,1
writes,1
support.”,1
led,1
mine,1
afflictions.”,1
preserved,1
filled,1
love.”,1
read,1
firm,1
declaration,1
“lord,1
trust,1
forever.”,1
circumstance—the,1
bitter,1
sweet—nephi,1
save.”,1
alone,1
desire,1
missionary,1
walked,1
path,1
rebellion,1
redemptive,1
lords,1
declared,1
“therefore,1
full,1
praise,1
forever,1
great,1
long-suffering,1
towards,1
men,1
feel.”,1
scarcely,1
express,1
king,1
kings,1
prince,1
ammons,1
rejoicing,1
gratitude,1
today,1
extended,1
toward,1
sends,1
invitation,1
“repent,1
you.”,1
engraved,1
upon,1
palms,1
hands,1
gift,1
repentance,1
forgiveness,1
good,1
shepherd,1
calls,1
gathers,1
rescues,1
sheep,1
relentlessly,1
works,1
bring,1
safely,1
healer,1
heal,1
sting,1
loneliness,1
emotional,1
pain,1
burden,1
broken,1
heart,1
empathy,1
weeps,1
still,1
heals,1
encircles,1
advocate,1
pleads,1
cause,1
“father,1
spare,1
brethren,1
believe,1
may,1
come,1
everlasting,1
life.”,1
satisfied,1
demands,1
justice,1
claimed,1
rights,1
lawgiver,1
guide,1
protect,1
bind,1
him—so,1
“transform,1
save,1
exalt”,1
choose,1
stands,1
head,1
restored,1
true,1
church,1
laws,1
earth,1
deliverer,1
overcome,1
monsters,1
spiritual,1
challenge,1
mortality,1
lies,1
beyond,1
matchless,1
deliver,1
kind,1
perhaps,1
master,1
counselor,1
friend,1
life,1
feels,1
infuriatingly,1
unfair,1
finding,1
strength,1
seems,1
difficult,1
reflect,1
meaning,1
divine,1
restore,1
understanding,1
extends,1
“draw,1
seek,1
diligently,1
ye,1
learn,1
listen,1
words,1
walk,1
covenant,1
direct,1
access,1
“an,1
extra,1
measure,1
mercy.”,1
moments,1
faithful,1
obey,1
honor,1
patiently,1
wait,1
beloved,1
president,1
dallin,1
oaks,1
testified,1
taught,1
“as,1
fathers,1
plan,1
resurrection,1
overcame,1
assure,1
immortality,1
gives,1
opportunity,1
repent,1
sins,1
return,1
clean,1
willingly,1
infirmities,1
strengthen,1
loves,1
lord?”,1
testify,1
resurrected,1
sunday,1
always,1
invite,1
sacred,1
amen,1
