word,count
jesus,20
heavenly,14
love,12
children,11
father,11
help,9
christ,8
send,7
us,7
others,7
will,6
“here,5
bring,5
young,5
earth,5
spirit,5
make,5
people,5
primary,4
families,4
much,4
day,4
now,4
world,3
friends,3
today,3
fathers,3
many,3
loves,3
receive,3
blessings,3
plan,3
need,3
live,3
joy,3
knew,3
me.”,3
god,3
learn,3
say,3
pray,3
boy,3
small,3
food,3
president,2
offering,2
gods,2
church,2
communities,2
older,2
may,2
choose,2
listen,2
answer,2
long,2
lived,2
know,2
dont,2
remember,2
learning,2
born,2
body,2
purpose,2
came,2
shared,2
commandments,2
return,2
taught,2
savior,2
everything,2
important,2
grow,2
person,2
comfort,2
walk,2
thoughts,2
someone,2
school,2
stand,2
light,2
group,2
bread,2
feed,2
mother,2
told,2
son,2
saw,2
made,2
chloe,2
eli,2
every,2
ask,2
moment,2
sacred,2
dessert,2
want,2
forever,2
me”,1
susan,1
porter,1
general,1
grateful,1
speak,1
question,1
“how,1
old,1
you?”,1
although,1
spent,1
time,1
growing,1
new,1
years,1
gifts,1
ability,1
difference,1
good,1
wants,1
enjoys,1
happiness,1
part,1
come,1
gain,1
loving,1
peace,1
mistakes,1
home,1
chose,1
yes,1
said,1
sent,1
showed,1
happy,1
gethsemane,1
suffered,1
pain,1
sins,1
challenges,1
died,1
cross,1
greatest,1
miracle,1
resurrected,1
celebrate,1
easter,1
lord,1
won,1
battle,1
hard,1
unfair,1
lives,1
knows,1
understands,1
done,1
stay,1
close,1
try,1
keep,1
magnificent,1
meant,1
happier,1
faster,1
feel,1
opportunities,1
wake,1
confidence,1
knowing,1
follow,1
example,1
prayer,1
ideas,1
lonely,1
family,1
lessons,1
teach,1
truth,1
feeding,1
5,000,1
teaching,1
hungry,1
somewhere,1
large,1
five,1
loaves,1
two,1
fishes,1
decided,1
give,1
took,1
thanked,1
fed,1
thousands,1
figure,1
amount,1
fish,1
worry,1
fixing,1
problems,1
around,1
provide,1
miracles,1
simply,1
offer,1
me,”,1
take,1
something,1
simple,1
great,1
seen,1
caribbean,1
lifted,1
heavy,1
heart,1
asked,1
read,1
book,1
mormon,1
ghana,1
share,1
lunch,1
cambodia,1
sick,1
local,1
hospital,1
given,1
activity,1
kits,1
cared,1
months,1
ago,1
stood,1
business,1
leaders,1
spoke,1
confidently,1
faith,1
affects,1
everyday,1
life,1
think,1
gospel,1
look,1
ways,1
adults,1
means,1
disciples,1
recently,1
fast,1
testimony,1
meeting,1
“would,1
everyone,1
please,1
raise,1
hands?”,1
looked,1
smiled,1
raised,1
hands,1
often,1
special,1
sunday,1
dinner,1
shed,1
“do,1
later?”,1
dad,1
always,1
big,1
smile,1
“i,1
later!”,1
strive,1
closer,1
later,1
choices,1
change,1
prepare,1
invite,1
move,1
forward,1
walking,1
“[you,1
covnant,1
gift,1
give.”,1
bear,1
witness,1
christs,1
atonement,1
blessing,1
living,1
joyfully,1
presence,1
name,1
amen,1
