word,count
eternal,18
marriage,16
christ,9
love,8
god,8
us,8
will,7
jesus,7
together,7
journey,6
life,6
lord,6
sacred,5
president,5
holy,5
covenants,5
seek,4
power,4
one,4
kathy,4
day,4
keep,4
world,4
hope,4
become,4
patience,4
faith,4
many,4
name,3
forever,3
said,3
bound,3
sealing,3
years,3
including,3
even,3
savior,3
upon,3
wedding,3
ghost,3
recently,3
times,3
issues,3
health,3
dad,3
twelve,2
believe,2
teach,2
saviors,2
sealed,2
tomb,2
divine,2
son,2
“he,2
blessings,2
bind,2
earth,2
today,2
experiences,2
every,2
across,2
altar,2
shared,2
words,2
moment,2
commitment,2
ordinance,2
companion,2
solemnly,2
promises,2
faithful,2
greater,2
desire,2
nature,2
spiritual,2
dallin,2
oaks,2
part,2
confidence,2
woman,2
house,2
law,2
set,2
lives,2
require,2
napkins,2
first,2
know,2
kept,2
happiness,2
“the,2
dont,2
obstacles,2
distractions,2
25th,2
anniversary,2
speaking,2
packer,2
eternity,2
couple,2
mom,2
periods,2
parents,2
different,2
“my,2
experienced,2
sought,2
number,2
served,2
incredible,2
mother,2
promise,2
walk,2
mortal,2
strength,2
weary,2
elder,1
neil,1
andersen,1
quorum,1
apostles,1
following,1
incomparable,1
sacrifice,1
offered,1
garden,1
gethsemane,1
cross,1
lifeless,1
body,1
securely,1
borrowed,1
contain,1
“why,1
ye,1
living,1
among,1
dead?”,1
angels,1
declared,1
risen.”,1
victory,1
death,1
sin,1
praise,1
brought,1
immeasurable,1
apostle,1
peter,1
“whatsoever,1
thou,1
shalt,1
heaven.”,1
restored,1
found,1
dedicated,1
temples,1
gordon,1
hinckley,1
“if,1
nothing,1
came,1
sorrow,1
travail,1
pain,1
restoration,1
priesthood,1
families,1
worth,1
cost.”,1
nearly,1
emotion,1
feeling,1
solidly,1
cemented,1
conscious,1
mind,1
poignant,1
knelt,1
temple,1
hopes,1
dreams,1
burst,1
kaleidoscope,1
anticipation,1
heard,1
unforgettable,1
“for,1
time,1
eternity.”,1
vast,1
worldwide,1
congregation,1
lovingly,1
remember,1
speak,1
especially,1
kneeling,1
growing,1
realization,1
depth,1
binds,1
vow,1
unspeakable,1
mortality,1
beyond,1
thrones,1
powers,1
dominions,1
refine,1
allowing,1
live,1
within,1
find,1
crucible,1
development,1
vital,1
qualities—sacrifice,1
charity,1
peacemaker,1
spoke,1
morning,1
character,1
todd,1
christofferson,1
said—can,1
increase,1
grows,1
discipleship,1
short-term,1
experiment,1
becoming,1
desires,1
much,1
lasting,1
eroding,1
gospel,1
proclaim,1
“marriage,1
man,1
ordained,1
god.”,1
anticipate,1
conscientiously,1
prepare,1
make,1
youth,1
strengthen,1
commandments,1
chastity,1
aside,1
take,1
preparation,1
course,1
weaknesses,1
realize,1
unselfishness,1
repentance,1
forgiveness,1
engraved,1
paper,1
reception,1
william,1
shakespeare,1
“love,1
alters,1
alteration,1
finds.”,1
months,1
got,1
better,1
leftover,1
around,1
apartment,1
embracing,1
sorrows,1
lifes,1
etch,1
indelibly,1
souls,1
eyes,1
focused,1
heavenward,1
toward,1
glorious,1
destination,1
awaiting,1
attributes,1
perfected,1
profoundly,1
need,1
gift,1
personal,1
already,1
quoted,1
conference,1
adversary,1
effective,1
disguising,1
truth,1
deceived,1
lie,1
ahead,1
many.”,1
deceptions,1
discount,1
importance,1
actual,1
see,1
stellar,1
dose,1
philadelphia,1
missionaries,1
received,1
call,1
boyd,1
end,1
conversation,1
commented,1
“president,1
think,1
great,1
accomplishment?”,1
without,1
pausing,1
responded,1
“it,1
kathy!”,1
allow,1
expand,1
gifts,1
understanding,1
let,1
mention,1
two,1
true,1
disciple,1
eternally,1
righteous,1
choosing,1
throughout,1
whether,1
next,1
second,1
question,1
asked,1
“are,1
situations,1
divorce,1
considered?”,1
answer,1
yes,1
cautions,1
significant,1
include,1
prophetic,1
teachings,1
subject,1
published,1
version,1
message,1
fifty,1
ago,1
met,1
impressive,1
married,1
promising,1
children,1
talented,1
full,1
work,1
prospered,1
unexpectedly,1
young,1
developed,1
serious,1
reflections,1
“in,1
younger,1
sweet,1
went,1
crushing,1
severe,1
depression,1
bringing,1
extended,1
difficulty,1
taking,1
care,1
needs,1
new,1
reality,1
anticipated,1
never,1
mental,1
illness,1
help,1
heavenly,1
father,1
cant,1
count,1
walked,1
knees,1
sundays,1
quietly,1
fasting,1
mother—and,1
us—with,1
humility,1
influence,1
hoping,1
act,1
react,1
seasons,1
small,1
another,1
remained,1
spend,1
gave,1
perfect,1
brightness,1
“while,1
felt,1
challenges,1
created,1
burden,1
saw,1
differently,1
loved,1
serving,1
precious,1
daughter,1
“as,1
bravely—and,1
miraculously—overcame,1
struggles,1
light,1
joy,1
grandparents,1
“later,1
60s,1
faced,1
entirely,1
trials,1
breast,1
cancer,1
neurological,1
impacted,1
ability,1
doubled,1
“they,1
final,1
journey.”,1
gives,1
hold,1
tightly,1
complete,1
everlasting,1
creator,1
ends,1
earth,”,1
rose,1
third,1
“[he,1
fainteth,1
neither,1
giveth,1
faint,1
might,1
increaseth,1
“[and,1
wait,1
mount,1
wings,1
eagles,1
run,1
faint.”,1
testify,1
amen,1
