word,count
elijah,17
keys,13
prophet,10
sealing,10
elder,9
christ,9
savior,9
easter,8
jesus,8
priesthood,8
holland,8
joseph,7
smith,6
temple,6
fathers,6
jerusalem,6
restored,5
day,5
accomplished,5
church,5
children,5
earth,5
sacred,5
covenants,4
committed,4
kirtland,4
gospel,4
sunday,4
events,4
atonement,4
years,4
one,4
restoration,4
power,4
hearts,4
families,4
ordinances,4
wives,4
leaders,4
jewish,4
twelve,3
prophets,3
special,3
garden,3
salvation,3
resurrection,3
lord,3
times,3
days,3
role,3
people,3
will,3
old,3
testament,3
second,3
doctrine,3
coming,3
promises,3
whole,3
performed,3
muslims,3
jews,3
return,3
ministry,3
temples,3
life,3
eternal,3
many,3
read,3
explained,3
felt,3
feel,3
quorum,2
apostles,2
ancient,2
essential,2
part,2
celebrate,2
occurred,2
tomb,2
witness,2
plan,2
way,2
free,2
death,2
moses,2
father,2
history,2
night,2
angel,2
moroni,2
appeared,2
17-year-old,2
visited,2
related,2
christs,2
reveal,2
made,2
turn,2
utterly,2
wasted,2
miracles,2
world,2
god,2
worship,2
prior,2
mortal,2
exercised,2
time,2
significant,2
understand,2
husbands,2
spiritual,2
experiences,2
missionary,2
later,2
well,2
baptismal,2
font,2
opportunity,2
deceased,2
solomons,2
tears,2
certain,2
room,2
two,2
worked,2
visit,2
last,2
spirit,2
confirmation,2
might,2
testify,2
quentin,1
cook,1
blessing,1
session,1
general,1
conference,1
coincide,1
actual,1
emphasis,1
encompasses,1
eternity-shaping,1
gethsemane,1
cross,1
calvary,1
resurrected,1
provides,1
everyone,1
lived,1
unconditionally,1
sin,1
condition,1
repentance,1
seminal,1
doctrines,1
coincides,1
magnificent,1
vision,1
1836—190,1
ago—just,1
week,1
dedicated,1
today,1
passover,1
season,1
overlap,1
appearance,1
oliver,1
cowdery,1
elias,1
central,1
latter,1
restoring,1
crucial,1
journey,1
returning,1
covenant,1
little,1
help,1
put,1
perspective,1
september,1
small,1
log,1
cabin,1
near,1
palmyra,1
new,1
york,1
three,1
morning,1
taught,1
retaught,1
critical,1
information,1
unfolding,1
future,1
told,1
gold,1
plates,1
hidden,1
hillside,1
nearby,1
addition,1
quoted,1
prophecies,1
section,1
contains,1
moronis,1
words,1
relating,1
“behold,1
unto,1
hand,1
great,1
dreadful,1
“and,1
plant,1
“if,1
coming.”,1
access,1
bible,1
confused,1
remember,1
remarkable,1
held,1
mighty,1
christians,1
accept,1
believe,1
sent,1
allah,1
call,1
away,1
idol,1
worship—especially,1
baal—and,1
back,1
true,1
waiting,1
elijahs,1
2,900,1
forerunner,1
messiah,1
melchizedek,1
noteworthy,1
transfiguration,1
conferred,1
upon,1
peter,1
james,1
john,1
american,1
continent,1
specifically,1
recited,1
account,1
malachi,1
concerning,1
uniting,1
eternally,1
important,1
pivotal,1
played,1
mankind,1
pertaining,1
bind,1
heaven,1
includes,1
vicarious,1
exaltation,1
must,1
effective,1
eternities—to,1
seal,1
parents,1
without,1
“the,1
wasted.”,1
dear,1
friend,1
beloved,1
companion—and,1
president—president,1
jeffrey,1
starting,1
privilege,1
escorting,1
various,1
groups,1
people—including,1
reform,1
conservative,1
orthodox,1
rabbi,1
secular,1
leaders—through,1
open-house,1
tours,1
utah,1
explain,1
baptism,1
ancestors,1
relates,1
directly,1
malachis,1
turning,1
kings,1
7:25,1
described,1
sits,1
top,1
hinder,1
parts,1
oxen,1
representing,1
tribes,1
israel,1
brought,1
recognition,1
realized,1
essentially,1
looking,1
aspects,1
significance,1
entered,1
overcome,1
emotion,1
eyes,1
want,1
offend,1
compelled,1
share,1
something,1
spiritually,1
powerful,1
indeed,1
come,1
allow,1
assembled,1
place,1
friends,1
appreciated,1
fact,1
scriptural,1
accounts,1
featured,1
prominently,1
requested,1
175th,1
anniversary,1
orson,1
hydes,1
historic,1
dedication,1
holy,1
land,1
blessed,1
represent,1
celebration,1
additional,1
following,1
event,1
particularly,1
first,1
came,1
hollands,1
30s,1
behalf,1
president,1
spencer,1
kimball,1
spearheaded,1
effort,1
establish,1
center,1
mount,1
olives,1
almost,1
others,1
accomplish,1
built,1
tirelessly,1
palestinian,1
loved,1
places,1
along,1
pat,1
mary,1
together,1
next,1
precious,1
verses,1
four,1
gospels,1
recount,1
saviors,1
earthly,1
culminating,1
atoning,1
sacrifice,1
glorious,1
imagine,1
former,1
companions,1
serving,1
sweet,1
walk,1
walked,1
scriptures,1
miraculous,1
let,1
assure,1
need,1
physically,1
things,1
knowledge,1
study,1
unite,1
eternity,1
surety,1
atoned,1
sins,1
broke,1
bands,1
son,1
celestial,1
kingdom,1
promise,1
adhere,1
commandments,1
grow,1
closer,1
relationship,1
appreciation,1
gratitude,1
dispensation,1
apostle,1
bear,1
sure,1
leads,1
rejoice,1
name,1
amen,1
