word,count
church,11
come,8
unto,8
one,8
temple,8
jesus,7
christ,7
years,7
lord,7
sealed,7
bob,7
know,6
god,6
families,6
father,6
wife,6
baptized,6
christ—together,5
eternal,5
every,5
invite,4
brothers,4
sisters,4
gospel,4
even,4
us,4
sacred,4
later,4
president,4
yet,4
invitation,4
never,4
felt,4
husband,4
eternity,3
doctrine,3
made,3
living,3
moses,3
earth,3
purpose,3
family,3
received,3
patience,3
love,3
members,3
faith,3
stories,3
agency,3
denny,3
house,3
remains,3
marlene,3
day,3
eight,3
elder,2
make,2
commitment,2
choose,2
reward,2
dear,2
described,2
simply,2
simple,2
clearer,2
take,2
might,2
stop.”,2
step,2
many,2
asked,2
two,2
words,2
“for,2
things,2
prophet,2
gods,2
presence,2
eternally,2
months,2
“the,2
essential,2
heavenly,2
plan,2
sealing,2
covenants,2
unite,2
pressure,2
ensure,2
may,2
today,2
say,2
alex,2
attended,2
different,2
courtship,2
attend,2
member,2
continue,2
gave,2
chose,2
time,2
began,2
join,2
good,2
extended,2
loving,2
long,2
serving,2
stake,2
attending,2
peace,2
faithful,2
remained,2
timing,2
heart,2
savior,2
taniela,1
wakolo,1
seventy,1
rejoice,1
daughter,1
jasmin,1
old,1
general,1
conference,1
gathering,1
“prophets,1
seers,1
revelators,1
testify,1
teach,1
misunderstood.”,1
messages,1
example,1
road,1
signs,1
see,1
driving,1
car,1
seeing,1
sign,1
stop,1
beautiful,1
philippines,1
message,1
much,1
direct,1
“full,1
missouri,1
went,1
“really,1
gotta,1
grateful,1
prophets,1
apostles,1
speak,1
simplicity,1
clarity—whose,1
collective,1
voices,1
“come,1
christ.”,1
book,1
read,1
experience,1
beheld,1
lands—“yea,1
it.”,1
saw,1
inhabitants,1
“and,1
numbers,1
great,1
numberless,1
sand,1
upon,1
sea,1
shore.”,1
overwhelmed,1
vision,1
profound,1
questions,1
means,1
wanted,1
understand,1
answered,1
mine,1
bring,1
pass,1
immortality,1
life,1
man.”,1
nephi,1
testified,1
denieth,1
none,1
alike,1
god.”,1
fulfilled,1
receive,1
gift,1
life—which,1
includes,1
six,1
ago,1
dallin,1
oaks,1
taught,1
latter-day,1
saints,1
centers,1
ordinances,1
enable,1
return,1
implemented,1
mortal,1
intended,1
destiny,1
exalt,1
children,1
families.”,1
declared,1
“marriage,1
ordained,1
answer,1
end,1
creation,”,1
without,1
authority,1
needed,1
enter,1
forever,1
whole,1
utterly,1
wasted,1
coming.”,1
stands,1
symbol,1
hope,1
wedge,1
divide,1
bridge,1
must,1
discipleship,1
reflects,1
saviors,1
gentleness,1
perfect,1
sealings,1
divine,1
order,1
wonder,1
often,1
crowning,1
ordinance,1
listening,1
others,1
spouses,1
share,1
quiet,1
persistent,1
new,1
zealand,1
childhood,1
friends,1
churches,1
friendship,1
blossomed,1
marriage,1
religion,1
discussed,1
dating,1
married,1
faced,1
dilemma,1
point,1
way,1
divided,1
counsel,1
“keep,1
going,1
family.”,1
listened,1
tension,1
ended,1
unity,1
brisbane,1
australia,1
seven-year-old,1
boy,1
pleaded,1
baptize,1
several,1
experiences,1
taken,1
met,1
bold,1
dad,1
accept,1
sons,1
request,1
gently,1
declined,1
sometimes,1
seed,1
planted,1
breaks,1
soil,1
farmington,1
utah,1
lived,1
man,1
named,1
hasenyager,1
devoted,1
honored,1
quietly,1
patiently,1
pressuring—only,1
helping,1
local,1
ward,1
“are,1
aware,1
longs,1
still,1
waits,1
wanting,1
hurt,1
you?”,1
wept,1
told,1
full,1
support,1
endowment,1
regularly,1
noticed,1
something,1
argument,1
young,1
missionary,1
suggested,1
specific,1
date,1
bobs,1
“i,1
holy,1
ghost,1
warmth,1
joy,1
finally,1
answer.”,1
diagnosed,1
terminal,1
cancer,1
four,1
passed,1
away,1
honors,1
patient,1
late,1
miracles,1
fiji,1
waited,1
alone,1
uninterested,1
hesitant,1
withdraw,1
resent,1
served,1
patriarchal,1
blessing,1
promised,1
true,1
missionaries,1
couple,1
anita,1
regret,1
wish,1
sooner,1
fact,1
quentin,1
cook,1
spoke,1
call,1
serve,1
area,1
keeps,1
promises—but,1
statistics,1
souls,1
witness,1
represented,1
tears,1
prayers,1
feelings,1
waiting,1
spouse,1
praying,1
child,1
promise,1
remind,1
conversion,1
personal,1
individual,1
part-member,1
families—do,1
lose,1
waiting—do,1
give,1
endowed,1
need,1
return—come,1
abraham,1
isaac,1
jacob,1
invited—know,1
rooted,1
christlike,1
church—lets,1
minister,1
“no,1
sits,1
alone.”,1
forces,1
invites,1
blesses,1
fulfills,1
promises,1
according,1
faithfulness,1
month,1
celebrate,1
remember,1
resurrection,1
name,1
resurrected,1
amen,1
