word,count
christ,6
jesus,5
lord,5
us,5
world,4
eternal,4
conference,4
will,3
president,2
truly,2
way,2
peace,2
life,2
come,2
messages,2
two,2
days,2
continue,2
focus,2
teachings,2
fathers,2
plan,2
follow,2
one,2
love,2
families,2
children,2
act,2
closing,1
remarks,1
dallin,1
oaks,1
church,1
latter-day,1
saints,1
tabernacle,1
choir,1
sung,1
musical,1
prayer,1
“tell,1
stories,1
jesus.”,1
suitable,1
summary,1
last,1
soon,1
close,1
“redeemer,1
israel.”,1
hymns,1
spirit,1
inspired,1
concentrate,1
worship,1
learning,1
unite,1
testimonies,1
increase,1
joy,1
knows,1
loves,1
perfectly,1
invites,1
walk,1
abide,1
example,1
ministering,1
others,1
charity,1
reminded,1
central,1
role,1
marriage,1
heavenly,1
destiny,1
may,1
demonstrate,1
pure,1
communities,1
interactions,1
gods,1
published,1
invite,1
study,1
ponder,1
prayerfully,1
faith,1
principles,1
explain,1
promised,1
“unto,1
receiveth,1
give,1
more.”,1
treasure,1
upon,1
teach,1
inspire,1
personal,1
revelation,1
guidance,1
promise,1
directions,1
servants,1
“look,1
god,1
live.”,1
name,1
amen,1
